sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
40	2	1	1	39.996	4	Aircraft1_10%_17.jpg	0	0.1	39.996	43.727	41.221	0
40	2	1	2	44.016	4	Aircraft2_10%_42.jpg	1	0.1	44.016	47.756	44.64	1
40	2	1	3	48.034	4	Aircraft2_10%_44.jpg	1	0.1	48.034	51.771	48.645	1
40	2	1	4	52.063	4	Aircraft1_10%_10.jpg	0	0.1	52.063	55.797	53.009	0
40	2	1	5	56.069	4	Aircraft2_10%_25.jpg	1	0.1	56.069	59.804	56.639	1
40	2	1	6	60.099	4	rest.jpg	n/a	n/a	60.099	63.831	64.099	n/a
40	2	1	7	64.067	4	rest.jpg	n/a	n/a	64.067	67.796	68.067	n/a
40	2	1	8	68.04	4	rest.jpg	n/a	n/a	68.04	71.774	72.04	n/a
40	2	2	9	72.062	4	Aircraft1_90%_12.jpg	0	0.9	72.062	75.791	75.262	0
40	2	2	10	76.06	4	Aircraft2_90%_32.jpg	1	0.9	76.06	79.795	78.554	1
40	2	2	11	80.063	4	Aircraft2_90%_48.jpg	1	0.9	80.063	83.791	81.372	1
40	2	2	12	84.061	4	Aircraft1_90%_19.jpg	0	0.9	84.061	87.797	85.728	0
40	2	2	13	88.063	4	Aircraft1_90%_33.jpg	0	0.9	88.063	91.798	90.342	0
40	2	2	14	92.068	4	rest.jpg	n/a	n/a	92.068	95.803	96.068	n/a
40	2	2	15	96.037	4	rest.jpg	n/a	n/a	96.037	99.776	100.037	n/a
40	2	2	16	100.016	4	rest.jpg	n/a	n/a	100.016	103.752	104.016	n/a
40	2	3	17	104.037	4	Aircraft2_70%_33.jpg	1	0.75	104.037	107.772	106.985	1
40	2	3	18	108.044	4	Aircraft2_70%_38.jpg	1	0.75	108.044	111.783	109.047	1
40	2	3	19	112.078	4	Aircraft1_70%_30.jpg	0	0.75	112.078	115.808	113.763	0
40	2	3	20	116.102	4	Aircraft1_70%_41.jpg	0	0.75	116.102	119.832	117.542	0
40	2	3	21	120.104	4	Aircraft1_70%_18.jpg	0	0.75	120.104	123.837	121.057	0
40	2	3	22	124.129	4	rest.jpg	n/a	n/a	124.129	127.863	128.129	n/a
40	2	3	23	128.113	4	rest.jpg	n/a	n/a	128.113	131.848	132.113	n/a
40	2	3	24	132.085	4	rest.jpg	n/a	n/a	132.085	135.817	136.085	n/a
40	2	4	25	136.091	4	Aircraft2_10%_24.jpg	1	0.1	136.091	139.826	137.08	1
40	2	4	26	140.121	4	Aircraft2_10%_2.jpg	1	0.1	140.121	143.85	141.105	1
40	2	4	27	144.146	4	Aircraft2_10%_43.jpg	1	0.1	144.146	147.875	144.893	1
40	2	4	28	148.173	4	Aircraft2_10%_46.jpg	1	0.1	148.173	151.902	148.763	1
40	2	4	29	152.191	4	Aircraft1_10%_42.jpg	0	0.1	152.191	155.919	153.02	0
40	2	4	30	156.208	4	rest.jpg	n/a	n/a	156.208	159.942	160.208	n/a
40	2	4	31	160.194	4	rest.jpg	n/a	n/a	160.194	163.925	164.194	n/a
40	2	4	32	164.159	4	rest.jpg	n/a	n/a	164.159	167.89	168.159	n/a
40	2	5	33	168.159	4	Aircraft2_90%_9.jpg	1	0.9	168.159	171.895	170.592	1
40	2	5	34	172.163	4	Aircraft2_90%_6.jpg	1	0.9	172.163	175.894	175.472	1
40	2	5	35	176.161	4	Aircraft1_90%_23.jpg	0	0.9	176.161	179.892	177.457	0
40	2	5	36	180.161	4	Aircraft1_90%_21.jpg	0	0.9	180.161	183.895	183.19	0
40	2	5	37	184.183	4	Aircraft2_90%_36.jpg	1	0.9	184.183	187.918	187.438	1
40	2	5	38	188.189	4	rest.jpg	n/a	n/a	188.189	191.924	192.189	n/a
40	2	5	39	192.158	4	rest.jpg	n/a	n/a	192.158	195.887	196.158	n/a
40	2	5	40	196.134	4	rest.jpg	n/a	n/a	196.134	199.87	200.134	n/a
40	2	6	41	200.16	4	Aircraft2_70%_31.jpg	1	0.75	200.16	203.896	201.24	1
40	2	6	42	204.171	4	Aircraft1_70%_4.jpg	0	0.75	204.171	207.906	207.549	0
40	2	6	43	208.2	4	Aircraft2_70%_20.jpg	1	0.75	208.2	211.934	209.558	1
40	2	6	44	212.209	4	Aircraft1_70%_7.jpg	0	0.75	212.209	215.94	213.255	0
40	2	6	45	216.232	4	Aircraft1_70%_8.jpg	0	0.75	216.232	219.966	218.991	0
40	2	6	46	220.243	4	rest.jpg	n/a	n/a	220.243	223.972	224.243	n/a
40	2	6	47	224.208	4	rest.jpg	n/a	n/a	224.208	227.939	228.208	n/a
40	2	6	48	228.172	4	rest.jpg	n/a	n/a	228.172	231.901	232.172	n/a
40	2	7	49	232.191	4	Aircraft2_10%_31.jpg	1	0.1	232.191	235.92	233.452	1
40	2	7	50	236.2	4	Aircraft1_10%_4.jpg	0	0.1	236.2	239.931	236.971	0
40	2	7	51	240.214	4	Aircraft2_10%_20.jpg	1	0.1	240.214	243.95	240.981	1
40	2	7	52	244.249	4	Aircraft1_10%_7.jpg	0	0.1	244.249	247.985	244.956	0
40	2	7	53	248.261	4	Aircraft1_10%_8.jpg	0	0.1	248.261	251.995	249.108	0
40	2	7	54	252.266	4	rest.jpg	n/a	n/a	252.266	256.002	256.266	n/a
40	2	7	55	256.252	4	rest.jpg	n/a	n/a	256.252	259.988	260.252	n/a
40	2	7	56	260.238	4	rest.jpg	n/a	n/a	260.238	263.972	264.238	n/a
40	2	8	57	264.254	4	Aircraft2_90%_41.jpg	1	0.9	264.254	267.984	266.667	1
40	2	8	58	268.269	4	Aircraft1_90%_22.jpg	0	0.9	268.269	272	269.691	0
40	2	8	59	272.268	4	Aircraft1_90%_44.jpg	0	0.9	272.268	276.002	273.278	0
40	2	8	60	276.27	4	Aircraft1_90%_1.jpg	0	0.9	276.27	280.001	278.574	0
40	2	8	61	280.272	4	Aircraft2_90%_37.jpg	1	0.9	280.272	284.006	281.696	1
40	2	8	62	284.28	4	rest.jpg	n/a	n/a	284.28	288.009	288.28	n/a
