onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix	stim_started_1	stim_stopped_1	key_time_1	key_fix_1
40.029	4	Aircraft1_10%_2.jpg	0	0.1	40.029	43.763	42.267	0	40.029	43.763	42.267	0
44.087	4	Aircraft1_10%_39.jpg	0	0.1	44.087	47.817	45.369	0	44.087	47.817	45.369	0
48.095	4	Aircraft2_10%_26.jpg	1	0.1	48.095	51.832	49.629	1	48.095	51.832	49.629	1
52.154	4	Aircraft1_10%_15.jpg	0	0.1	52.154	55.885	53.243	0	52.154	55.885	53.243	0
56.174	4	Aircraft2_10%_16.jpg	1	0.1	56.174	59.904	57.409	1	56.174	59.904	57.409	1
60.176	4	rest.jpg	NaN	NaN	60.176	63.908	64.176	NaN	60.176	63.908	64.176	NaN
64.143	4	rest.jpg	NaN	NaN	64.143	67.875	68.143	NaN	64.143	67.875	68.143	NaN
68.131	4	rest.jpg	NaN	NaN	68.131	71.87	72.131	NaN	68.131	71.87	72.131	NaN
72.138	4	Aircraft2_90%_14.jpg	1	0.9	72.138	75.874	75.117	1	72.138	75.874	75.117	1
76.164	4	Aircraft2_90%_5.jpg	1	0.9	76.164	79.899	78.099	1	76.164	79.899	78.099	1
80.169	4	Aircraft2_90%_15.jpg	1	0.9	80.169	83.899	81.426	1	80.169	83.899	81.426	1
84.185	4	Aircraft2_90%_19.jpg	1	0.9	84.185	87.92	86.852	1	84.185	87.92	86.852	1
88.2	4	Aircraft1_90%_31.jpg	0	0.9	88.2	91.936	89.79	0	88.2	91.936	89.79	0
92.224	4	rest.jpg	NaN	NaN	92.224	95.957	96.224	NaN	92.224	95.957	96.224	NaN
96.192	4	rest.jpg	NaN	NaN	96.192	99.922	100.192	NaN	96.192	99.922	100.192	NaN
100.17	4	rest.jpg	NaN	NaN	100.17	103.9	104.17	NaN	100.17	103.9	104.17	NaN
104.168	4	Aircraft2_70%_4.jpg	1	0.75	104.168	107.9	107.404	1	104.168	107.9	107.404	1
108.172	4	Aircraft1_70%_43.jpg	0	0.75	108.172	111.905	109.522	0	108.172	111.905	109.522	0
