onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix	stim_started_1	stim_stopped_1	key_time_1	key_fix_1
40.048	4	Aircraft1_10%_2.jpg	0	0.1	40.048	43.783	42.196	0	40.048	43.783	42.196	0
44.099	4	Aircraft1_10%_39.jpg	0	0.1	44.099	47.835	45.587	0	44.099	47.835	45.587	0
48.141	4	Aircraft2_10%_26.jpg	1	0.1	48.141	51.871	49.857	1	48.141	51.871	49.857	1
52.2	4	Aircraft1_10%_15.jpg	0	0.1	52.2	55.937	53.134	0	52.2	55.937	53.134	0
56.26	4	Aircraft2_10%_16.jpg	1	0.1	56.26	59.996	57.55	1	56.26	59.996	57.55	1
60.27	4	rest.jpg	NaN	NaN	60.27	64	64.27	NaN	60.27	64	64.27	NaN
64.235	4	rest.jpg	NaN	NaN	64.235	67.971	68.235	NaN	64.235	67.971	68.235	NaN
68.222	4	rest.jpg	NaN	NaN	68.222	71.952	72.222	NaN	68.222	71.952	72.222	NaN
72.248	4	Aircraft2_90%_14.jpg	1	0.9	72.248	75.98	76.248	1	72.248	75.98	76.248	1
76.301	4	Aircraft2_90%_5.jpg	1	0.9	76.301	80.039	78.645	1	76.301	80.039	78.645	1
80.323	4	Aircraft2_90%_15.jpg	1	0.9	80.323	84.054	83.388	1	80.323	84.054	83.388	1
84.374	4	Aircraft2_90%_19.jpg	1	0.9	84.374	88.109	87.694	1	84.374	88.109	87.694	1
88.427	4	Aircraft1_90%_31.jpg	0	0.9	88.427	92.157	91.721	0	88.427	92.157	91.721	0
92.452	4	rest.jpg	NaN	NaN	92.452	96.182	96.452	NaN	92.452	96.182	96.452	NaN
96.416	4	rest.jpg	NaN	NaN	96.416	100.151	100.416	NaN	96.416	100.151	100.416	NaN
100.395	4	rest.jpg	NaN	NaN	100.395	104.125	104.395	NaN	100.395	104.125	104.395	NaN
104.41	4	Aircraft2_70%_4.jpg	1	0.75	104.41	108.14	107.483	1	104.41	108.14	107.483	1
108.413	4	Aircraft1_70%_43.jpg	0	0.75	108.413	112.143	110.784	0	108.413	112.143	110.784	0
112.458	4	Aircraft1_70%_9.jpg	0	0.75	112.458	116.191	116.458	0	112.458	116.191	116.458	0
116.471	4	Aircraft1_70%_11.jpg	0	0.75	116.471	120.206	116.823	0	116.471	120.206	116.823	0
120.528	4	Aircraft1_70%_50.jpg	0	0.75	120.528	124.26	123.41	0	120.528	124.26	123.41	0
124.533	4	rest.jpg	NaN	NaN	124.533	128.264	128.533	NaN	124.533	128.264	128.533	NaN
128.498	4	rest.jpg	NaN	NaN	128.498	132.234	132.498	NaN	128.498	132.234	132.498	NaN
132.483	4	rest.jpg	NaN	NaN	132.483	136.213	136.483	NaN	132.483	136.213	136.483	NaN
136.498	4	Aircraft1_10%_36.jpg	0	0.1	136.498	140.227	139.009	0	136.498	140.227	139.009	0
140.509	4	Aircraft1_10%_35.jpg	0	0.1	140.509	144.241	141.403	0	140.509	144.241	141.403	0
144.562	4	Aircraft2_10%_3.jpg	1	0.1	144.562	148.295	145.572	1	144.562	148.295	145.572	1
148.616	4	Aircraft1_10%_5.jpg	0	0.1	148.616	152.352	150.958	0	148.616	152.352	150.958	0
152.641	4	Aircraft1_10%_48.jpg	0	0.1	152.641	156.377	154.223	0	152.641	156.377	154.223	0
156.667	4	rest.jpg	NaN	NaN	156.667	160.404	160.667	NaN	156.667	160.404	160.667	NaN
160.654	4	rest.jpg	NaN	NaN	160.654	164.391	164.654	NaN	160.654	164.391	164.654	NaN
164.643	4	rest.jpg	NaN	NaN	164.643	168.379	168.643	NaN	164.643	168.379	168.643	NaN
168.661	4	Aircraft1_90%_3.jpg	0	0.9	168.661	172.392	171.116	0	168.661	172.392	171.116	0
172.698	4	Aircraft2_90%_28.jpg	1	0.9	172.698	176.427	175.062	1	172.698	176.427	175.062	1
176.722	4	Aircraft1_90%_24.jpg	0	0.9	176.722	180.455	179.32	0	176.722	180.455	179.32	0
180.754	4	Aircraft2_90%_39.jpg	1	0.9	180.754	184.486	183.752	1	180.754	184.486	183.752	1
184.792	4	Aircraft2_90%_8.jpg	1	0.9	184.792	188.525	186.881	1	184.792	188.525	186.881	1
188.81	4	rest.jpg	NaN	NaN	188.81	192.547	192.81	NaN	188.81	192.547	192.81	NaN
192.792	4	rest.jpg	NaN	NaN	192.792	196.527	196.792	NaN	192.792	196.527	196.792	NaN
196.762	4	rest.jpg	NaN	NaN	196.762	200.497	200.762	NaN	196.762	200.497	200.762	NaN
200.771	4	Aircraft2_70%_18.jpg	1	0.75	200.771	204.501	203.043	1	200.771	204.501	203.043	1
204.79	4	Aircraft1_70%_29.jpg	0	0.75	204.79	208.52	206.82	0	204.79	208.52	206.82	0
208.846	4	Aircraft2_70%_1.jpg	1	0.75	208.846	212.575	211.745	1	208.846	212.575	211.745	1
212.898	4	Aircraft1_70%_26.jpg	0	0.75	212.898	216.631	214.033	0	212.898	216.631	214.033	0
216.949	4	Aircraft2_70%_34.jpg	1	0.75	216.949	220.679	220.015	1	216.949	220.679	220.015	1
220.966	4	rest.jpg	NaN	NaN	220.966	224.703	224.966	NaN	220.966	224.703	224.966	NaN
224.937	4	rest.jpg	NaN	NaN	224.937	228.675	228.937	NaN	224.937	228.675	228.937	NaN
228.909	4	rest.jpg	NaN	NaN	228.909	232.646	232.909	NaN	228.909	232.646	232.909	NaN
232.924	4	Aircraft2_10%_17.jpg	1	0.1	232.924	236.661	234.646	1	232.924	236.661	234.646	1
236.988	4	Aircraft2_10%_11.jpg	1	0.1	236.988	240.72	238.049	1	236.988	240.72	238.049	1
241.027	4	Aircraft1_10%_20.jpg	0	0.1	241.027	244.763	242.099	0	241.027	244.763	242.099	0
245.084	4	Aircraft2_10%_47.jpg	1	0.1	245.084	248.821	246.074	1	245.084	248.821	246.074	1
249.128	4	Aircraft2_10%_45.jpg	1	0.1	249.128	252.865	249.922	1	249.128	252.865	249.922	1
253.156	4	rest.jpg	NaN	NaN	253.156	256.886	257.156	NaN	253.156	256.886	257.156	NaN
257.136	4	rest.jpg	NaN	NaN	257.136	260.868	261.136	NaN	257.136	260.868	261.136	NaN
261.118	4	rest.jpg	NaN	NaN	261.118	264.854	265.118	NaN	261.118	264.854	265.118	NaN
265.163	4	Aircraft1_90%_25.jpg	0	0.9	265.163	268.9	266.949	0	265.163	268.9	266.949	0
269.208	4	Aircraft2_90%_49.jpg	1	0.9	269.208	272.944	271.821	1	269.208	272.944	271.821	1
273.253	4	Aircraft2_90%_10.jpg	1	0.9	273.253	276.99	274.985	1	273.253	276.99	274.985	1
277.272	4	Aircraft2_90%_12.jpg	1	0.9	277.272	281.007	279.756	1	277.272	281.007	279.756	1
281.319	4	Aircraft2_90%_7.jpg	1	0.9	281.319	285.054	283.227	1	281.319	285.054	283.227	1
285.322	4	rest.jpg	NaN	NaN	285.322	289.053	289.322	NaN	285.322	289.053	289.322	NaN
289.287	4	rest.jpg	NaN	NaN	289.287	293.023	293.287	NaN	289.287	293.023	293.287	NaN
293.272	4	rest.jpg	NaN	NaN	293.272	297.008	297.272	NaN	293.272	297.008	297.272	NaN
297.312	4	Aircraft1_70%_32.jpg	0	0.75	297.312	301.048	298.905	0	297.312	301.048	298.905	0
301.368	4	Aircraft1_70%_49.jpg	0	0.75	301.368	305.099	302.639	0	301.368	305.099	302.639	0
305.379	4	Aircraft2_70%_22.jpg	1	0.75	305.379	309.109	306.841	1	305.379	309.109	306.841	1
309.404	4	Aircraft1_70%_34.jpg	0	0.75	309.404	313.14	311.795	0	309.404	313.14	311.795	0
313.423	4	Aircraft1_70%_14.jpg	0	0.75	313.423	317.156	317.05	0	313.423	317.156	317.05	0
317.428	4	rest.jpg	NaN	NaN	317.428	321.165	321.428	NaN	317.428	321.165	321.428	NaN
321.412	4	rest.jpg	NaN	NaN	321.412	325.148	325.412	NaN	321.412	325.148	325.412	NaN
325.391	4	rest.jpg	NaN	NaN	325.391	329.123	329.391	NaN	325.391	329.123	329.391	NaN
329.414	4	Aircraft1_10%_1.jpg	0	0.1	329.414	333.149	330.772	0	329.414	333.149	330.772	0
333.462	4	Aircraft1_10%_47.jpg	0	0.1	333.462	337.192	334.378	0	333.462	337.192	334.378	0
337.482	4	Aircraft1_10%_40.jpg	0	0.1	337.482	341.212	338.213	0	337.482	341.212	338.213	0
341.539	4	Aircraft1_10%_27.jpg	0	0.1	341.539	345.274	342.964	0	341.539	345.274	342.964	0
345.578	4	Aircraft2_10%_35.jpg	1	0.1	345.578	349.314	347.27	1	345.578	349.314	347.27	1
349.584	4	rest.jpg	NaN	NaN	349.584	353.319	353.584	NaN	349.584	353.319	353.584	NaN
353.568	4	rest.jpg	NaN	NaN	353.568	357.302	357.568	NaN	353.568	357.302	357.568	NaN
357.547	4	rest.jpg	NaN	NaN	357.547	361.277	361.547	NaN	357.547	361.277	361.547	NaN
361.598	4	Aircraft1_90%_32.jpg	0	0.9	361.598	365.333	363.996	0	361.598	365.333	363.996	0
365.649	4	Aircraft1_90%_49.jpg	0	0.9	365.649	369.379	368.046	0	365.649	369.379	368.046	0
369.694	4	Aircraft2_90%_22.jpg	1	0.9	369.694	373.426	372.774	1	369.694	373.426	372.774	1
373.743	4	Aircraft1_90%_34.jpg	0	0.9	373.743	377.478	375.06	0	373.743	377.478	375.06	0
377.774	4	Aircraft1_90%_14.jpg	0	0.9	377.774	381.507	380.997	0	377.774	381.507	380.997	0
381.792	4	rest.jpg	NaN	NaN	381.792	385.527	385.792	NaN	381.792	385.527	385.792	NaN
385.767	4	rest.jpg	NaN	NaN	385.767	389.503	389.767	NaN	385.767	389.503	389.767	NaN
389.736	4	rest.jpg	NaN	NaN	389.736	393.472	393.736	NaN	389.736	393.472	393.736	NaN
393.788	4	Aircraft2_70%_24.jpg	1	0.75	393.788	397.524	395.668	1	393.788	397.524	395.668	1
397.837	4	Aircraft2_70%_2.jpg	1	0.75	397.837	401.572	399.06	1	397.837	401.572	399.06	1
401.855	4	Aircraft2_70%_43.jpg	1	0.75	401.855	405.591	403.551	1	401.855	405.591	403.551	1
