onset	duration	stim_file	stim_started	stim_stopped	key_fix
40	4	Aircraft1_10%_17.jpg	39.989	43.722	1
44	4	Aircraft2_10%_42.jpg	44.006	47.737	1
48	4	Aircraft2_10%_44.jpg	48.004	51.735	1
52	4	Aircraft1_10%_10.jpg	52.017	55.747	1
56	4	Aircraft2_10%_25.jpg	56.025	59.758	1
60	4	rest.jpg	60.041	63.778	NaN
64	4	rest.jpg	64.024	67.756	NaN
68	4	rest.jpg	68.007	71.746	NaN
72	4	Aircraft1_90%_12.jpg	72.026	75.76	1
76	4	Aircraft2_90%_32.jpg	76.022	79.754	1
80	4	Aircraft2_90%_48.jpg	80.015	83.747	1
84	4	Aircraft1_90%_19.jpg	84.028	87.767	1
88	4	Aircraft1_90%_33.jpg	88.026	91.759	1
92	4	rest.jpg	92.021	95.753	NaN
96	4	rest.jpg	95.985	99.719	NaN
100	4	rest.jpg	99.968	103.703	NaN
104	4	Aircraft2_70%_33.jpg	103.985	107.722	1
108	4	Aircraft2_70%_38.jpg	107.988	111.725	1
112	4	Aircraft1_70%_30.jpg	112.01	115.748	1
116	4	Aircraft1_70%_41.jpg	116.016	119.751	1
120	4	Aircraft1_70%_18.jpg	120.017	123.754	1
124	4	rest.jpg	124.035	127.766	NaN
128	4	rest.jpg	128.014	131.751	NaN
132	4	rest.jpg	132	135.737	NaN
136	4	Aircraft2_10%_24.jpg	136.025	139.759	1
140	4	Aircraft2_10%_2.jpg	140.027	143.766	1
144	4	Aircraft2_10%_43.jpg	144.052	147.791	1
148	4	Aircraft2_10%_46.jpg	148.078	151.812	1
152	4	Aircraft1_10%_42.jpg	152.093	155.825	1
156	4	rest.jpg	156.109	159.846	NaN
160	4	rest.jpg	160.095	163.832	NaN
164	4	rest.jpg	164.084	167.823	NaN
168	4	Aircraft2_90%_9.jpg	168.086	171.819	1
172	4	Aircraft2_90%_6.jpg	172.099	175.839	1
176	4	Aircraft1_90%_23.jpg	176.117	179.85	1
180	4	Aircraft1_90%_21.jpg	180.115	183.849	1
