onset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
40.017	4	Aircraft1_10%_2.jpg	0	0.1	40.017	43.754	40.825	0
44.038	4	Aircraft1_10%_39.jpg	0	0.1	44.038	47.771	44.755	0
48.083	4	Aircraft2_10%_26.jpg	1	0.1	48.083	51.816	49.035	1
52.142	4	Aircraft1_10%_15.jpg	0	0.1	52.142	55.881	52.861	0
56.193	4	Aircraft2_10%_16.jpg	1	0.1	56.193	59.93	57.057	1
60.244	4	rest.jpg	n/a	n/a	60.244	63.978	64.244	n/a
64.243	4	rest.jpg	n/a	n/a	64.243	67.979	68.243	n/a
68.22	4	rest.jpg	n/a	n/a	68.22	71.954	72.22	n/a
72.266	4	Aircraft2_90%_14.jpg	1	0.9	72.266	76.002	75.072	1
76.282	4	Aircraft2_90%_5.jpg	1	0.9	76.282	80.018	77.24	1
80.301	4	Aircraft2_90%_15.jpg	1	0.9	80.301	84.033	82.764	1
84.348	4	Aircraft2_90%_19.jpg	1	0.9	84.348	88.078	85.215	1
88.353	4	Aircraft1_90%_31.jpg	0	0.9	88.353	92.083	89.544	0
92.365	4	rest.jpg	n/a	n/a	92.365	96.095	96.365	n/a
96.345	4	rest.jpg	n/a	n/a	96.345	100.075	100.345	n/a
100.328	4	rest.jpg	n/a	n/a	100.328	104.058	104.328	n/a
104.345	4	Aircraft2_70%_4.jpg	1	0.75	104.345	108.075	105.945	1
108.421	4	Aircraft1_70%_43.jpg	0	0.75	108.421	112.157	109.093	0
112.456	4	Aircraft1_70%_9.jpg	0	0.75	112.456	116.189	113.359	0
116.514	4	Aircraft1_70%_11.jpg	0	0.75	116.514	120.249	117.172	0
120.571	4	Aircraft1_70%_50.jpg	0	0.75	120.571	124.304	121.467	0
124.575	4	rest.jpg	n/a	n/a	124.575	128.31	128.575	n/a
128.544	4	rest.jpg	n/a	n/a	128.544	132.274	132.544	n/a
132.522	4	rest.jpg	n/a	n/a	132.522	136.254	136.522	n/a
136.541	4	Aircraft1_10%_36.jpg	0	0.1	136.541	140.272	137.36	0
140.598	4	Aircraft1_10%_35.jpg	0	0.1	140.598	144.328	141.178	0
144.65	4	Aircraft2_10%_3.jpg	1	0.1	144.65	148.383	145.477	1
148.671	4	Aircraft1_10%_5.jpg	0	0.1	148.671	152.4	149.321	0
152.725	4	Aircraft1_10%_48.jpg	0	0.1	152.725	156.462	153.707	0
156.746	4	rest.jpg	n/a	n/a	156.746	160.478	160.746	n/a
160.717	4	rest.jpg	n/a	n/a	160.717	164.447	164.717	n/a
164.681	4	rest.jpg	n/a	n/a	164.681	168.411	168.681	n/a
168.796	4	Aircraft1_90%_3.jpg	0	0.9	168.796	172.528	169.513	0
172.813	4	Aircraft2_90%_28.jpg	1	0.9	172.813	176.543	173.918	1
176.865	4	Aircraft1_90%_24.jpg	0	0.9	176.865	180.601	177.525	0
180.88	4	Aircraft2_90%_39.jpg	1	0.9	180.88	184.615	181.755	1
184.893	4	Aircraft2_90%_8.jpg	1	0.9	184.893	188.622	186.38	1
188.904	4	rest.jpg	n/a	n/a	188.904	192.64	192.904	n/a
192.885	4	rest.jpg	n/a	n/a	192.885	196.615	196.885	n/a
196.865	4	rest.jpg	n/a	n/a	196.865	200.6	200.865	n/a
200.963	4	Aircraft2_70%_18.jpg	1	0.75	200.963	204.693	201.827	1
205.013	4	Aircraft1_70%_29.jpg	0	0.75	205.013	208.749	205.681	0
209.072	4	Aircraft2_70%_1.jpg	1	0.75	209.072	212.806	209.857	1
213.12	4	Aircraft1_70%_26.jpg	0	0.75	213.12	216.853	213.717	0
217.137	4	Aircraft2_70%_34.jpg	1	0.75	217.137	220.873	218.205	1
221.156	4	rest.jpg	n/a	n/a	221.156	224.888	225.156	n/a
225.134	4	rest.jpg	n/a	n/a	225.134	228.865	229.134	n/a
229.097	4	rest.jpg	n/a	n/a	229.097	232.829	233.097	n/a
233.111	4	Aircraft2_10%_17.jpg	1	0.1	233.111	236.843	233.947	1
237.136	4	Aircraft2_10%_11.jpg	1	0.1	237.136	240.872	237.806	1
241.209	4	Aircraft1_10%_20.jpg	0	0.1	241.209	244.945	241.813	0
245.254	4	Aircraft2_10%_47.jpg	1	0.1	245.254	248.984	245.963	1
249.301	4	Aircraft2_10%_45.jpg	1	0.1	249.301	253.038	249.969	1
253.325	4	rest.jpg	n/a	n/a	253.325	257.06	257.325	n/a
257.292	4	rest.jpg	n/a	n/a	257.292	261.029	261.292	n/a
261.261	4	rest.jpg	n/a	n/a	261.261	264.996	265.261	n/a
265.306	4	Aircraft1_90%_25.jpg	0	0.9	265.306	269.037	266.061	0
269.354	4	Aircraft2_90%_49.jpg	1	0.9	269.354	273.084	270.046	1
273.379	4	Aircraft2_90%_10.jpg	1	0.9	273.379	277.115	274.267	1
277.404	4	Aircraft2_90%_12.jpg	1	0.9	277.404	281.134	278.542	1
281.426	4	Aircraft2_90%_7.jpg	1	0.9	281.426	285.162	282.744	1
285.443	4	rest.jpg	n/a	n/a	285.443	289.172	289.443	n/a
289.42	4	rest.jpg	n/a	n/a	289.42	293.15	293.42	n/a
293.399	4	rest.jpg	n/a	n/a	293.399	297.135	297.399	n/a
297.415	4	Aircraft1_70%_32.jpg	0	0.75	297.415	301.151	298.278	0
301.434	4	Aircraft1_70%_49.jpg	0	0.75	301.434	305.166	302.862	0
305.476	4	Aircraft2_70%_22.jpg	1	0.75	305.476	309.206	306.343	1
309.492	4	Aircraft1_70%_34.jpg	0	0.75	309.492	313.222	310.134	0
313.508	4	Aircraft1_70%_14.jpg	0	0.75	313.508	317.24	314.796	0
317.519	4	rest.jpg	n/a	n/a	317.519	321.254	321.519	n/a
321.505	4	rest.jpg	n/a	n/a	321.505	325.238	325.505	n/a
325.482	4	rest.jpg	n/a	n/a	325.482	329.218	329.482	n/a
