onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix	stim_started_1	stim_stopped_1	key_time_1	key_fix_1
39.989	4	Aircraft1_10%_17.jpg	0	0.1	39.989	43.722	41.21	0	39.989	43.722	41.21	0
44.006	4	Aircraft2_10%_42.jpg	1	0.1	44.006	47.737	44.651	1	44.006	47.737	44.651	1
48.004	4	Aircraft2_10%_44.jpg	1	0.1	48.004	51.735	48.671	1	48.004	51.735	48.671	1
52.017	4	Aircraft1_10%_10.jpg	0	0.1	52.017	55.747	52.666	0	52.017	55.747	52.666	0
56.025	4	Aircraft2_10%_25.jpg	1	0.1	56.025	59.758	57.036	1	56.025	59.758	57.036	1
60.041	4	rest.jpg	NaN	NaN	60.041	63.778	64.041	NaN	60.041	63.778	64.041	NaN
64.024	4	rest.jpg	NaN	NaN	64.024	67.756	68.024	NaN	64.024	67.756	68.024	NaN
68.007	4	rest.jpg	NaN	NaN	68.007	71.746	72.007	NaN	68.007	71.746	72.007	NaN
72.026	4	Aircraft1_90%_12.jpg	0	0.9	72.026	75.76	73.589	0	72.026	75.76	73.589	0
76.022	4	Aircraft2_90%_32.jpg	1	0.9	76.022	79.754	77.949	1	76.022	79.754	77.949	1
80.015	4	Aircraft2_90%_48.jpg	1	0.9	80.015	83.747	81.14	1	80.015	83.747	81.14	1
84.028	4	Aircraft1_90%_19.jpg	0	0.9	84.028	87.767	85.427	0	84.028	87.767	85.427	0
88.026	4	Aircraft1_90%_33.jpg	0	0.9	88.026	91.759	88.906	0	88.026	91.759	88.906	0
92.021	4	rest.jpg	NaN	NaN	92.021	95.753	96.021	NaN	92.021	95.753	96.021	NaN
95.985	4	rest.jpg	NaN	NaN	95.985	99.719	99.985	NaN	95.985	99.719	99.985	NaN
99.968	4	rest.jpg	NaN	NaN	99.968	103.703	103.968	NaN	99.968	103.703	103.968	NaN
103.985	4	Aircraft2_70%_33.jpg	1	0.75	103.985	107.722	104.888	1	103.985	107.722	104.888	1
107.988	4	Aircraft2_70%_38.jpg	1	0.75	107.988	111.725	109.181	1	107.988	111.725	109.181	1
112.01	4	Aircraft1_70%_30.jpg	0	0.75	112.01	115.748	113.738	0	112.01	115.748	113.738	0
116.016	4	Aircraft1_70%_41.jpg	0	0.75	116.016	119.751	117.897	0	116.016	119.751	117.897	0
120.017	4	Aircraft1_70%_18.jpg	0	0.75	120.017	123.754	120.982	0	120.017	123.754	120.982	0
124.035	4	rest.jpg	NaN	NaN	124.035	127.766	128.035	NaN	124.035	127.766	128.035	NaN
128.014	4	rest.jpg	NaN	NaN	128.014	131.751	132.014	NaN	128.014	131.751	132.014	NaN
132	4	rest.jpg	NaN	NaN	132	135.737	136	NaN	132	135.737	136	NaN
136.025	4	Aircraft2_10%_24.jpg	1	0.1	136.025	139.759	136.99	1	136.025	139.759	136.99	1
140.027	4	Aircraft2_10%_2.jpg	1	0.1	140.027	143.766	140.892	1	140.027	143.766	140.892	1
144.052	4	Aircraft2_10%_43.jpg	1	0.1	144.052	147.791	144.744	1	144.052	147.791	144.744	1
148.078	4	Aircraft2_10%_46.jpg	1	0.1	148.078	151.812	148.688	1	148.078	151.812	148.688	1
152.093	4	Aircraft1_10%_42.jpg	0	0.1	152.093	155.825	152.919	0	152.093	155.825	152.919	0
156.109	4	rest.jpg	NaN	NaN	156.109	159.846	160.109	NaN	156.109	159.846	160.109	NaN
160.095	4	rest.jpg	NaN	NaN	160.095	163.832	164.095	NaN	160.095	163.832	164.095	NaN
164.084	4	rest.jpg	NaN	NaN	164.084	167.823	168.084	NaN	164.084	167.823	168.084	NaN
168.086	4	Aircraft2_90%_9.jpg	1	0.9	168.086	171.819	169.667	1	168.086	171.819	169.667	1
172.099	4	Aircraft2_90%_6.jpg	1	0.9	172.099	175.839	173.566	1	172.099	175.839	173.566	1
176.117	4	Aircraft1_90%_23.jpg	0	0.9	176.117	179.85	177.823	0	176.117	179.85	177.823	0
180.115	4	Aircraft1_90%_21.jpg	0	0.9	180.115	183.849	181.101	0	180.115	183.849	181.101	0
184.113	4	Aircraft2_90%_36.jpg	1	0.9	184.113	187.845	184.978	1	184.113	187.845	184.978	1
188.134	4	rest.jpg	NaN	NaN	188.134	191.865	192.134	NaN	188.134	191.865	192.134	NaN
192.118	4	rest.jpg	NaN	NaN	192.118	195.849	196.118	NaN	192.118	195.849	196.118	NaN
196.098	4	rest.jpg	NaN	NaN	196.098	199.828	200.098	NaN	196.098	199.828	200.098	NaN
200.116	4	Aircraft2_70%_31.jpg	1	0.75	200.116	203.85	201.533	1	200.116	203.85	201.533	1
204.119	4	Aircraft1_70%_4.jpg	0	0.75	204.119	207.852	204.925	0	204.119	207.852	204.925	0
208.122	4	Aircraft2_70%_20.jpg	1	0.75	208.122	211.856	209.496	1	208.122	211.856	209.496	1
212.126	4	Aircraft1_70%_7.jpg	0	0.75	212.126	215.858	213.013	0	212.126	215.858	213.013	0
216.127	4	Aircraft1_70%_8.jpg	0	0.75	216.127	219.863	216.919	0	216.127	219.863	216.919	0
220.131	4	rest.jpg	NaN	NaN	220.131	223.864	224.131	NaN	220.131	223.864	224.131	NaN
224.113	4	rest.jpg	NaN	NaN	224.113	227.846	228.113	NaN	224.113	227.846	228.113	NaN
228.098	4	rest.jpg	NaN	NaN	228.098	231.831	232.098	NaN	228.098	231.831	232.098	NaN
232.121	4	Aircraft2_10%_31.jpg	1	0.1	232.121	235.853	232.893	1	232.121	235.853	232.893	1
236.147	4	Aircraft1_10%_4.jpg	0	0.1	236.147	239.882	236.982	0	236.147	239.882	236.982	0
240.165	4	Aircraft2_10%_20.jpg	1	0.1	240.165	243.902	240.919	1	240.165	243.902	240.919	1
244.195	4	Aircraft1_10%_7.jpg	0	0.1	244.195	247.935	244.912	0	244.195	247.935	244.912	0
248.226	4	Aircraft1_10%_8.jpg	0	0.1	248.226	251.962	248.96	0	248.226	251.962	248.96	0
252.229	4	rest.jpg	NaN	NaN	252.229	255.966	256.229	NaN	252.229	255.966	256.229	NaN
256.216	4	rest.jpg	NaN	NaN	256.216	259.948	260.216	NaN	256.216	259.948	260.216	NaN
260.2	4	rest.jpg	NaN	NaN	260.2	263.932	264.2	NaN	260.2	263.932	264.2	NaN
264.215	4	Aircraft2_90%_41.jpg	1	0.9	264.215	267.945	265.662	1	264.215	267.945	265.662	1
268.222	4	Aircraft1_90%_22.jpg	0	0.9	268.222	271.957	269.708	0	268.222	271.957	269.708	0
272.234	4	Aircraft1_90%_44.jpg	0	0.9	272.234	275.964	273.6	0	272.234	275.964	273.6	0
276.23	4	Aircraft1_90%_1.jpg	0	0.9	276.23	279.965	277.638	0	276.23	279.965	277.638	0
280.23	4	Aircraft2_90%_37.jpg	1	0.9	280.23	283.96	281.351	1	280.23	283.96	281.351	1
284.249	4	rest.jpg	NaN	NaN	284.249	287.984	288.249	NaN	284.249	287.984	288.249	NaN
288.221	4	rest.jpg	NaN	NaN	288.221	291.957	292.221	NaN	288.221	291.957	292.221	NaN
292.196	4	rest.jpg	NaN	NaN	292.196	295.925	296.196	NaN	292.196	295.925	296.196	NaN
296.192	4	Aircraft2_70%_41.jpg	1	0.75	296.192	299.923	297.42	1	296.192	299.923	297.42	1
300.212	4	Aircraft1_70%_22.jpg	0	0.75	300.212	303.946	301.719	0	300.212	303.946	301.719	0
304.214	4	Aircraft1_70%_44.jpg	0	0.75	304.214	307.952	305.289	0	304.214	307.952	305.289	0
308.238	4	Aircraft1_70%_1.jpg	0	0.75	308.238	311.973	309.29	0	308.238	311.973	309.29	0
312.256	4	Aircraft2_70%_37.jpg	1	0.75	312.256	315.986	313.199	1	312.256	315.986	313.199	1
316.272	4	rest.jpg	NaN	NaN	316.272	320.002	320.272	NaN	316.272	320.002	320.272	NaN
320.255	4	rest.jpg	NaN	NaN	320.255	323.986	324.255	NaN	320.255	323.986	324.255	NaN
324.222	4	rest.jpg	NaN	NaN	324.222	327.959	328.222	NaN	324.222	327.959	328.222	NaN
328.247	4	Aircraft2_10%_33.jpg	1	0.1	328.247	331.977	329.067	1	328.247	331.977	329.067	1
332.255	4	Aircraft2_10%_38.jpg	1	0.1	332.255	335.99	333.226	1	332.255	335.99	333.226	1
336.26	4	Aircraft1_10%_30.jpg	0	0.1	336.26	339.99	337.084	0	336.26	339.99	337.084	0
340.28	4	Aircraft1_10%_41.jpg	0	0.1	340.28	344.014	341.602	0	340.28	344.014	341.602	0
344.28	4	Aircraft1_10%_18.jpg	0	0.1	344.28	348.017	345.003	0	344.28	348.017	345.003	0
348.303	4	rest.jpg	NaN	NaN	348.303	352.032	352.303	NaN	348.303	352.032	352.303	NaN
352.284	4	rest.jpg	NaN	NaN	352.284	356.013	356.284	NaN	352.284	356.013	356.284	NaN
356.248	4	rest.jpg	NaN	NaN	356.248	359.984	360.248	NaN	356.248	359.984	360.248	NaN
360.268	4	Aircraft2_90%_23.jpg	1	0.9	360.268	363.997	362.024	1	360.268	363.997	362.024	1
364.281	4	Aircraft1_90%_28.jpg	0	0.9	364.281	368.017	365.801	0	364.281	368.017	365.801	0
368.294	4	Aircraft2_90%_13.jpg	1	0.9	368.294	372.03	369.984	1	368.294	372.03	369.984	1
372.312	4	Aircraft1_90%_45.jpg	0	0.9	372.312	376.046	373.196	0	372.312	376.046	373.196	0
376.326	4	Aircraft1_90%_37.jpg	0	0.9	376.326	380.057	377.54	0	376.326	380.057	377.54	0
380.341	4	rest.jpg	NaN	NaN	380.341	384.072	384.341	NaN	380.341	384.072	384.341	NaN
384.304	4	rest.jpg	NaN	NaN	384.304	388.038	388.304	NaN	384.304	388.038	388.304	NaN
388.287	4	rest.jpg	NaN	NaN	388.287	392.017	392.287	NaN	388.287	392.017	392.287	NaN
