sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
19	2	1	1	39.989	4	Aircraft1_10%_17.jpg	0	0.1	39.989	43.719	40.735	0
19	2	1	2	44.018	4	Aircraft2_10%_42.jpg	1	0.1	44.018	47.748	44.641	1
19	2	1	3	48.03	4	Aircraft2_10%_44.jpg	1	0.1	48.03	51.766	48.866	1
19	2	1	4	52.05	4	Aircraft1_10%_10.jpg	0	0.1	52.05	55.781	52.657	0
19	2	1	5	56.064	4	Aircraft2_10%_25.jpg	1	0.1	56.064	59.801	56.753	1
19	2	1	6	60.066	4	rest.jpg	n/a	n/a	60.066	63.796	64.066	n/a
19	2	1	7	64.044	4	rest.jpg	n/a	n/a	64.044	67.777	68.044	n/a
19	2	1	8	68.01	4	rest.jpg	n/a	n/a	68.01	71.743	72.01	n/a
19	2	2	9	72.023	4	Aircraft1_90%_12.jpg	0	0.9	72.023	75.755	74.614	0
19	2	2	10	76.037	4	Aircraft2_90%_32.jpg	1	0.9	76.037	79.769	80.037	1
19	2	2	11	80.03	4	Aircraft2_90%_48.jpg	1	0.9	80.03	83.76	81.024	1
19	2	2	12	84.036	4	Aircraft1_90%_19.jpg	0	0.9	84.036	87.768	88.036	0
19	2	2	13	88.027	4	Aircraft1_90%_33.jpg	0	0.9	88.027	91.759	88.226	0
19	2	2	14	92.046	4	rest.jpg	n/a	n/a	92.046	95.776	96.046	n/a
19	2	2	15	96.026	4	rest.jpg	n/a	n/a	96.026	99.764	100.026	n/a
19	2	2	16	100.018	4	rest.jpg	n/a	n/a	100.018	103.749	104.018	n/a
19	2	3	17	104.017	4	Aircraft2_70%_33.jpg	1	0.75	104.017	107.749	105.197	1
19	2	3	18	108.021	4	Aircraft2_70%_38.jpg	1	0.75	108.021	111.759	109.667	1
19	2	3	19	112.053	4	Aircraft1_70%_30.jpg	0	0.75	112.053	115.784	113.261	0
19	2	3	20	116.052	4	Aircraft1_70%_41.jpg	0	0.75	116.052	119.787	117.913	0
19	2	3	21	120.056	4	Aircraft1_70%_18.jpg	0	0.75	120.056	123.791	122.36	0
19	2	3	22	124.08	4	rest.jpg	n/a	n/a	124.08	127.81	128.08	n/a
19	2	3	23	128.065	4	rest.jpg	n/a	n/a	128.065	131.794	132.065	n/a
19	2	3	24	132.028	4	rest.jpg	n/a	n/a	132.028	135.758	136.028	n/a
19	2	4	25	136.033	4	Aircraft2_10%_24.jpg	1	0.1	136.033	139.769	137.291	1
19	2	4	26	140.044	4	Aircraft2_10%_2.jpg	1	0.1	140.044	143.774	141.28	1
19	2	4	27	144.066	4	Aircraft2_10%_43.jpg	1	0.1	144.066	147.795	145.664	1
19	2	4	28	148.074	4	Aircraft2_10%_46.jpg	1	0.1	148.074	151.802	149.261	1
19	2	4	29	152.083	4	Aircraft1_10%_42.jpg	0	0.1	152.083	155.817	153.649	0
19	2	4	30	156.106	4	rest.jpg	n/a	n/a	156.106	159.84	160.106	n/a
19	2	4	31	160.096	4	rest.jpg	n/a	n/a	160.096	163.83	164.096	n/a
19	2	4	32	164.076	4	rest.jpg	n/a	n/a	164.076	167.804	168.076	n/a
19	2	5	33	168.091	4	Aircraft2_90%_9.jpg	1	0.9	168.091	171.825	172.091	1
19	2	5	34	172.107	4	Aircraft2_90%_6.jpg	1	0.9	172.107	175.842	174.084	1
19	2	5	35	176.106	4	Aircraft1_90%_23.jpg	0	0.9	176.106	179.842	179.104	0
19	2	5	36	180.122	4	Aircraft1_90%_21.jpg	0	0.9	180.122	183.857	182.544	0
19	2	5	37	184.137	4	Aircraft2_90%_36.jpg	1	0.9	184.137	187.868	188.137	1
19	2	5	38	188.153	4	rest.jpg	n/a	n/a	188.153	191.888	192.153	n/a
19	2	5	39	192.121	4	rest.jpg	n/a	n/a	192.121	195.857	196.121	n/a
19	2	5	40	196.107	4	rest.jpg	n/a	n/a	196.107	199.836	200.107	n/a
19	2	6	41	200.123	4	Aircraft2_70%_31.jpg	1	0.75	200.123	203.858	200.957	1
19	2	6	42	204.125	4	Aircraft1_70%_4.jpg	0	0.75	204.125	207.862	206.083	0
19	2	6	43	208.131	4	Aircraft2_70%_20.jpg	1	0.75	208.131	211.863	212.131	1
19	2	6	44	212.133	4	Aircraft1_70%_7.jpg	0	0.75	212.133	215.864	212.371	0
19	2	6	45	216.15	4	Aircraft1_70%_8.jpg	0	0.75	216.15	219.878	217.602	0
19	2	6	46	220.166	4	rest.jpg	n/a	n/a	220.166	223.896	224.166	n/a
19	2	6	47	224.129	4	rest.jpg	n/a	n/a	224.129	227.858	228.129	n/a
19	2	6	48	228.091	4	rest.jpg	n/a	n/a	228.091	231.822	232.091	n/a
19	2	7	49	232.091	4	Aircraft2_10%_31.jpg	1	0.1	232.091	235.825	233.347	1
19	2	7	50	236.11	4	Aircraft1_10%_4.jpg	0	0.1	236.11	239.846	237.559	0
19	2	7	51	240.111	4	Aircraft2_10%_20.jpg	1	0.1	240.111	243.845	241.361	1
19	2	7	52	244.135	4	Aircraft1_10%_7.jpg	0	0.1	244.135	247.864	245.784	0
19	2	7	53	248.134	4	Aircraft1_10%_8.jpg	0	0.1	248.134	251.864	248.754	0
19	2	7	54	252.149	4	rest.jpg	n/a	n/a	252.149	255.878	256.149	n/a
19	2	7	55	256.129	4	rest.jpg	n/a	n/a	256.129	259.858	260.129	n/a
19	2	7	56	260.103	4	rest.jpg	n/a	n/a	260.103	263.835	264.103	n/a
19	2	8	57	264.104	4	Aircraft2_90%_41.jpg	1	0.9	264.104	267.834	266.487	1
19	2	8	58	268.096	4	Aircraft1_90%_22.jpg	0	0.9	268.096	271.831	269.405	0
19	2	8	59	272.114	4	Aircraft1_90%_44.jpg	0	0.9	272.114	275.845	274.487	0
19	2	8	60	276.109	4	Aircraft1_90%_1.jpg	0	0.9	276.109	279.845	278.25	0
19	2	8	61	280.126	4	Aircraft2_90%_37.jpg	1	0.9	280.126	283.855	281.658	1
19	2	8	62	284.124	4	rest.jpg	n/a	n/a	284.124	287.853	288.124	n/a
19	2	8	63	288.086	4	rest.jpg	n/a	n/a	288.086	291.815	292.086	n/a
19	2	8	64	292.047	4	rest.jpg	n/a	n/a	292.047	295.783	296.047	n/a
19	2	9	65	296.068	4	Aircraft2_70%_41.jpg	1	0.75	296.068	299.8	297.779	1
19	2	9	66	300.067	4	Aircraft1_70%_22.jpg	0	0.75	300.067	303.802	301.634	0
19	2	9	67	304.071	4	Aircraft1_70%_44.jpg	0	0.75	304.071	307.802	305.169	0
19	2	9	68	308.07	4	Aircraft1_70%_1.jpg	0	0.75	308.07	311.808	309.299	0
19	2	9	69	312.093	4	Aircraft2_70%_37.jpg	1	0.75	312.093	315.822	314.925	1
19	2	9	70	316.108	4	rest.jpg	n/a	n/a	316.108	319.836	320.108	n/a
19	2	9	71	320.068	4	rest.jpg	n/a	n/a	320.068	323.802	324.068	n/a
19	2	9	72	324.047	4	rest.jpg	n/a	n/a	324.047	327.778	328.047	n/a
19	2	10	73	328.061	4	Aircraft2_10%_33.jpg	1	0.1	328.061	331.79	329.658	1
19	2	10	74	332.06	4	Aircraft2_10%_38.jpg	1	0.1	332.06	335.795	333.8	1
19	2	10	75	336.065	4	Aircraft1_10%_30.jpg	0	0.1	336.065	339.795	337.505	0
19	2	10	76	340.066	4	Aircraft1_10%_41.jpg	0	0.1	340.066	343.797	341.984	0
19	2	10	77	344.08	4	Aircraft1_10%_18.jpg	0	0.1	344.08	347.809	345.94	0
19	2	10	78	348.091	4	rest.jpg	n/a	n/a	348.091	351.827	352.091	n/a
19	2	10	79	352.059	4	rest.jpg	n/a	n/a	352.059	355.789	356.059	n/a
19	2	10	80	356.019	4	rest.jpg	n/a	n/a	356.019	359.748	360.019	n/a
19	2	11	81	360.023	4	Aircraft2_90%_23.jpg	1	0.9	360.023	363.759	362.769	1
19	2	11	82	364.021	4	Aircraft1_90%_28.jpg	0	0.9	364.021	367.755	368.021	0
19	2	11	83	368.031	4	Aircraft2_90%_13.jpg	1	0.9	368.031	371.763	369.542	1
