sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
11	1	1	1	39.992	4	Aircraft1_10%_2.jpg	0	0.1	39.992	43.725	41.846	0
11	1	1	2	43.999	4	Aircraft1_10%_39.jpg	0	0.1	43.999	47.727	46.229	0
11	1	1	3	48.008	4	Aircraft2_10%_26.jpg	1	0.1	48.008	51.735	49.167	1
11	1	1	4	52.002	4	Aircraft1_10%_15.jpg	0	0.1	52.002	55.728	53.34	0
11	1	1	5	55.994	4	Aircraft2_10%_16.jpg	1	0.1	55.994	59.719	57.518	1
11	1	1	6	59.994	4	rest.jpg	n/a	n/a	59.994	63.721	63.994	n/a
11	1	1	7	63.967	4	rest.jpg	n/a	n/a	63.967	67.698	67.967	n/a
11	1	1	8	67.93	4	rest.jpg	n/a	n/a	67.93	71.654	71.93	n/a
11	1	2	9	71.916	4	Aircraft2_90%_14.jpg	1	0.9	71.916	75.64	73.846	1
11	1	2	10	75.922	4	Aircraft2_90%_5.jpg	1	0.9	75.922	79.651	76.983	1
11	1	2	11	79.927	4	Aircraft2_90%_15.jpg	1	0.9	79.927	83.651	81.954	1
11	1	2	12	83.922	4	Aircraft2_90%_19.jpg	1	0.9	83.922	87.646	86.616	1
11	1	2	13	87.913	4	Aircraft1_90%_31.jpg	0	0.9	87.913	91.639	90.437	0
11	1	2	14	91.902	4	rest.jpg	n/a	n/a	91.902	95.633	95.902	n/a
11	1	2	15	95.882	4	rest.jpg	n/a	n/a	95.882	99.612	99.882	n/a
11	1	2	16	99.844	4	rest.jpg	n/a	n/a	99.844	103.57	103.844	n/a
11	1	3	17	103.838	4	Aircraft2_70%_4.jpg	1	0.75	103.838	107.564	106.015	1
11	1	3	18	107.831	4	Aircraft1_70%_43.jpg	0	0.75	107.831	111.555	109.099	0
11	1	3	19	111.821	4	Aircraft1_70%_9.jpg	0	0.75	111.821	115.547	114.078	0
11	1	3	20	115.82	4	Aircraft1_70%_11.jpg	0	0.75	115.82	119.549	116.925	0
11	1	3	21	119.815	4	Aircraft1_70%_50.jpg	0	0.75	119.815	123.538	121.379	0
11	1	3	22	123.819	4	rest.jpg	n/a	n/a	123.819	127.543	127.819	n/a
11	1	3	23	127.778	4	rest.jpg	n/a	n/a	127.778	131.505	131.778	n/a
11	1	3	24	131.743	4	rest.jpg	n/a	n/a	131.743	135.47	135.743	n/a
11	1	4	25	135.748	4	Aircraft1_10%_36.jpg	0	0.1	135.748	139.474	137.445	0
11	1	4	26	139.741	4	Aircraft1_10%_35.jpg	0	0.1	139.741	143.471	140.903	0
11	1	4	27	143.735	4	Aircraft2_10%_3.jpg	1	0.1	143.735	147.46	144.694	1
11	1	4	28	147.739	4	Aircraft1_10%_5.jpg	0	0.1	147.739	151.463	148.904	0
11	1	4	29	151.747	4	Aircraft1_10%_48.jpg	0	0.1	151.747	155.471	153.298	0
11	1	4	30	155.745	4	rest.jpg	n/a	n/a	155.745	159.47	159.745	n/a
11	1	4	31	159.699	4	rest.jpg	n/a	n/a	159.699	163.425	163.699	n/a
11	1	4	32	163.655	4	rest.jpg	n/a	n/a	163.655	167.379	167.655	n/a
11	1	5	33	167.642	4	Aircraft1_90%_3.jpg	0	0.9	167.642	171.366	168.826	0
11	1	5	34	171.627	4	Aircraft2_90%_28.jpg	1	0.9	171.627	175.354	173.497	1
11	1	5	35	175.628	4	Aircraft1_90%_24.jpg	0	0.9	175.628	179.355	178.164	0
11	1	5	36	179.617	4	Aircraft2_90%_39.jpg	1	0.9	179.617	183.346	182.334	1
11	1	5	37	183.626	4	Aircraft2_90%_8.jpg	1	0.9	183.626	187.355	186.384	1
11	1	5	38	187.631	4	rest.jpg	n/a	n/a	187.631	191.357	191.631	n/a
11	1	5	39	191.588	4	rest.jpg	n/a	n/a	191.588	195.316	195.588	n/a
11	1	5	40	195.546	4	rest.jpg	n/a	n/a	195.546	199.27	199.546	n/a
11	1	6	41	199.537	4	Aircraft2_70%_18.jpg	1	0.75	199.537	203.266	200.897	1
11	1	6	42	203.55	4	Aircraft1_70%_29.jpg	0	0.75	203.55	207.275	204.457	0
11	1	6	43	207.542	4	Aircraft2_70%_1.jpg	1	0.75	207.542	211.273	209.9	1
11	1	6	44	211.547	4	Aircraft1_70%_26.jpg	0	0.75	211.547	215.273	213.23	0
11	1	6	45	215.539	4	Aircraft2_70%_34.jpg	1	0.75	215.539	219.265	217.744	1
11	1	6	46	219.543	4	rest.jpg	n/a	n/a	219.543	223.269	223.543	n/a
11	1	6	47	223.508	4	rest.jpg	n/a	n/a	223.508	227.232	227.508	n/a
11	1	6	48	227.464	4	rest.jpg	n/a	n/a	227.464	231.191	231.464	n/a
11	1	7	49	231.454	4	Aircraft2_10%_17.jpg	1	0.1	231.454	235.183	232.921	1
11	1	7	50	235.459	4	Aircraft2_10%_11.jpg	1	0.1	235.459	239.188	238.473	1
11	1	7	51	239.454	4	Aircraft1_10%_20.jpg	0	0.1	239.454	243.178	240.657	0
11	1	7	52	243.446	4	Aircraft2_10%_47.jpg	1	0.1	243.446	247.175	245.01	1
11	1	7	53	247.449	4	Aircraft2_10%_45.jpg	1	0.1	247.449	251.179	250.264	1
11	1	7	54	251.464	4	rest.jpg	n/a	n/a	251.464	255.19	255.464	n/a
11	1	7	55	255.422	4	rest.jpg	n/a	n/a	255.422	259.148	259.422	n/a
11	1	7	56	259.387	4	rest.jpg	n/a	n/a	259.387	263.116	263.387	n/a
11	1	8	57	263.395	4	Aircraft1_90%_25.jpg	0	0.9	263.395	267.118	264.841	0
11	1	8	58	267.378	4	Aircraft2_90%_49.jpg	1	0.9	267.378	271.109	269.789	1
11	1	8	59	271.381	4	Aircraft2_90%_10.jpg	1	0.9	271.381	275.111	275.381	1
11	1	8	60	275.381	4	Aircraft2_90%_12.jpg	1	0.9	275.381	279.107	275.527	1
11	1	8	61	279.368	4	Aircraft2_90%_7.jpg	1	0.9	279.368	283.097	280.694	1
11	1	8	62	283.381	4	rest.jpg	n/a	n/a	283.381	287.107	287.381	n/a
11	1	8	63	287.345	4	rest.jpg	n/a	n/a	287.345	291.075	291.345	n/a
11	1	8	64	291.306	4	rest.jpg	n/a	n/a	291.306	295.03	295.306	n/a
11	1	9	65	295.302	4	Aircraft1_70%_32.jpg	0	0.75	295.302	299.028	296.303	0
11	1	9	66	299.313	4	Aircraft1_70%_49.jpg	0	0.75	299.313	303.036	301.171	0
11	1	9	67	303.296	4	Aircraft2_70%_22.jpg	1	0.75	303.296	307.022	305.035	1
11	1	9	68	307.287	4	Aircraft1_70%_34.jpg	0	0.75	307.287	311.013	308.205	0
11	1	9	69	311.277	4	Aircraft1_70%_14.jpg	0	0.75	311.277	315.001	312.184	0
11	1	9	70	315.279	4	rest.jpg	n/a	n/a	315.279	319.008	319.279	n/a
11	1	9	71	319.251	4	rest.jpg	n/a	n/a	319.251	322.975	323.251	n/a
11	1	9	72	323.22	4	rest.jpg	n/a	n/a	323.22	326.946	327.22	n/a
11	1	10	73	327.223	4	Aircraft1_10%_1.jpg	0	0.1	327.223	330.947	328.14	0
11	1	10	74	331.212	4	Aircraft1_10%_47.jpg	0	0.1	331.212	334.941	332.319	0
11	1	10	75	335.209	4	Aircraft1_10%_40.jpg	0	0.1	335.209	338.939	336.234	0
11	1	10	76	339.207	4	Aircraft1_10%_27.jpg	0	0.1	339.207	342.936	340.133	0
11	1	10	77	343.204	4	Aircraft2_10%_35.jpg	1	0.1	343.204	346.934	345.164	1
11	1	10	78	347.211	4	rest.jpg	n/a	n/a	347.211	350.938	351.211	n/a
11	1	10	79	351.17	4	rest.jpg	n/a	n/a	351.17	354.899	355.17	n/a
11	1	10	80	355.131	4	rest.jpg	n/a	n/a	355.131	358.862	359.131	n/a
11	1	11	81	359.128	4	Aircraft1_90%_32.jpg	0	0.9	359.128	362.852	360.146	0
11	1	11	82	363.113	4	Aircraft1_90%_49.jpg	0	0.9	363.113	366.837	365.342	0
11	1	11	83	367.108	4	Aircraft2_90%_22.jpg	1	0.9	367.108	370.834	369.763	1
11	1	11	84	371.107	4	Aircraft1_90%_34.jpg	0	0.9	371.107	374.837	374.465	0
11	1	11	85	375.113	4	Aircraft1_90%_14.jpg	0	0.9	375.113	378.842	376.87	0
11	1	11	86	379.115	4	rest.jpg	n/a	n/a	379.115	382.845	383.115	n/a
11	1	11	87	383.075	4	rest.jpg	n/a	n/a	383.075	386.804	387.075	n/a
11	1	11	88	387.034	4	rest.jpg	n/a	n/a	387.034	390.764	391.034	n/a
11	1	12	89	391.027	4	Aircraft2_70%_24.jpg	1	0.75	391.027	394.756	392.252	1
11	1	12	90	395.018	4	Aircraft2_70%_2.jpg	1	0.75	395.018	398.742	396.447	1
11	1	12	91	399.025	4	Aircraft2_70%_43.jpg	1	0.75	399.025	402.749	399.988	1
11	1	12	92	403.016	4	Aircraft2_70%_46.jpg	1	0.75	403.016	406.746	404.734	1
11	1	12	93	407.012	4	Aircraft1_70%_42.jpg	0	0.75	407.012	410.736	408.16	0
11	1	12	94	410.999	4	rest.jpg	n/a	n/a	410.999	414.728	414.999	n/a
11	1	12	95	414.966	4	rest.jpg	n/a	n/a	414.966	418.692	418.966	n/a
11	1	12	96	418.923	4	rest.jpg	n/a	n/a	418.923	422.648	422.923	n/a
11	1	13	97	422.92	4	Aircraft2_10%_30.jpg	1	0.1	422.92	426.644	423.915	1
11	1	13	98	426.908	4	Aircraft2_10%_27.jpg	1	0.1	426.908	430.637	428.292	1
11	1	13	99	430.92	4	Aircraft2_10%_50.jpg	1	0.1	430.92	434.651	432.394	1
11	1	13	100	434.919	4	Aircraft2_10%_29.jpg	1	0.1	434.919	438.649	436.863	1
11	1	13	101	438.932	4	Aircraft1_10%_6.jpg	0	0.1	438.932	442.658	439.658	0
11	1	13	102	442.922	4	rest.jpg	n/a	n/a	442.922	446.653	446.922	n/a
11	1	13	103	446.884	4	rest.jpg	n/a	n/a	446.884	450.608	450.884	n/a
11	1	13	104	450.838	4	rest.jpg	n/a	n/a	450.838	454.563	454.838	n/a
11	1	14	105	454.825	4	Aircraft2_90%_18.jpg	1	0.9	454.825	458.556	456.311	1
11	1	14	106	458.818	4	Aircraft1_90%_29.jpg	0	0.9	458.818	462.542	460.298	0
11	1	14	107	462.802	4	Aircraft2_90%_1.jpg	1	0.9	462.802	466.526	463.827	1
11	1	14	108	466.787	4	Aircraft1_90%_26.jpg	0	0.9	466.787	470.514	468.691	0
11	1	14	109	470.788	4	Aircraft2_90%_34.jpg	1	0.9	470.788	474.517	473.458	1
11	1	14	110	474.79	4	rest.jpg	n/a	n/a	474.79	478.52	478.79	n/a
11	1	14	111	478.751	4	rest.jpg	n/a	n/a	478.751	482.475	482.751	n/a
11	1	14	112	482.722	4	rest.jpg	n/a	n/a	482.722	486.45	486.722	n/a
11	1	15	113	486.728	4	Aircraft1_70%_17.jpg	0	0.75	486.728	490.452	487.723	0
11	1	15	114	490.736	4	Aircraft2_70%_42.jpg	1	0.75	490.736	494.466	491.61	1
