filename	task_type
func/sub-04_ses-01_task-image_run-01_bold.nii	image
func/sub-04_ses-01_task-image_run-02_bold.nii	image
func/sub-04_ses-01_task-rest_run-01_bold.nii	n/a
func/sub-04_ses-01_task-rest_run-01_bold.nii	n/a
