sub	run	block	trail	onset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
2	1	1	1	40.205	4	Aircraft1_10%_2.jpg	0	0.1	40.205	43.958	41.805	0
2	1	1	2	44.228	4	Aircraft1_10%_39.jpg	0	0.1	44.228	47.976	48.228	0
2	1	1	3	48.234	4	Aircraft2_10%_26.jpg	1	0.1	48.234	51.981	49.825	1
2	1	1	4	52.248	4	Aircraft1_10%_15.jpg	0	0.1	52.248	55.997	54.019	0
2	1	1	5	56.263	4	Aircraft2_10%_16.jpg	1	0.1	56.263	60.01	58.179	1
2	1	1	6	60.263	4	rest.jpg	NaN	NaN	60.263	64.01	64.263	NaN
2	1	1	7	64.257	4	rest.jpg	NaN	NaN	64.257	68.006	68.257	NaN
2	1	1	8	68.24	4	rest.jpg	NaN	NaN	68.24	71.994	72.24	NaN
2	1	2	9	72.244	4	Aircraft2_90%_14.jpg	1	0.9	72.244	75.997	73.601	1
2	1	2	10	76.27	4	Aircraft2_90%_5.jpg	1	0.9	76.27	80.025	78.768	1
2	1	2	11	80.29	4	Aircraft2_90%_15.jpg	1	0.9	80.29	84.043	83.412	1
2	1	2	12	84.292	4	Aircraft2_90%_19.jpg	1	0.9	84.292	88.039	86.748	1
2	1	2	13	88.288	4	Aircraft1_90%_31.jpg	0	0.9	88.288	92.037	92.288	0
2	1	2	14	92.287	4	rest.jpg	NaN	NaN	92.287	96.033	92.335	NaN
2	1	2	15	96.265	4	rest.jpg	NaN	NaN	96.265	100.012	100.265	NaN
2	1	2	16	100.261	4	rest.jpg	NaN	NaN	100.261	104.02	104.261	NaN
2	1	3	17	104.276	4	Aircraft2_70%_4.jpg	1	0.75	104.276	108.03	106.986	1
2	1	3	18	108.292	4	Aircraft1_70%_43.jpg	0	0.75	108.292	112.039	109.776	0
2	1	3	19	112.303	4	Aircraft1_70%_9.jpg	0	0.75	112.303	116.05	115.365	0
2	1	3	20	116.301	4	Aircraft1_70%_11.jpg	0	0.75	116.301	120.048	119.263	0
2	1	3	21	120.311	4	Aircraft1_70%_50.jpg	0	0.75	120.311	124.065	121.983	0
2	1	3	22	124.315	4	rest.jpg	NaN	NaN	124.315	128.062	128.315	NaN
2	1	3	23	128.307	4	rest.jpg	NaN	NaN	128.307	132.053	132.307	NaN
2	1	3	24	132.285	4	rest.jpg	NaN	NaN	132.285	136.038	136.285	NaN
2	1	4	25	136.302	4	Aircraft1_10%_36.jpg	0	0.1	136.302	140.054	140.302	0
2	1	4	26	140.303	4	Aircraft1_10%_35.jpg	0	0.1	140.303	144.057	140.573	0
2	1	4	27	144.318	4	Aircraft2_10%_3.jpg	1	0.1	144.318	148.067	145.431	1
2	1	4	28	148.318	4	Aircraft1_10%_5.jpg	0	0.1	148.318	152.072	149.359	0
2	1	4	29	152.329	4	Aircraft1_10%_48.jpg	0	0.1	152.329	156.076	153.994	0
2	1	4	30	156.341	4	rest.jpg	NaN	NaN	156.341	160.088	160.341	NaN
