sub	run	block	trail	onset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
2	1	4	31	160.341	4	rest.jpg	NaN	NaN	160.341	164.09	164.341	NaN
2	1	4	32	164.335	4	rest.jpg	NaN	NaN	164.335	168.081	168.335	NaN
2	1	5	33	168.328	4	Aircraft1_90%_3.jpg	0	0.9	168.328	172.075	169.95	0
2	1	5	34	172.324	4	Aircraft2_90%_28.jpg	1	0.9	172.324	176.073	174.572	1
2	1	5	35	176.328	4	Aircraft1_90%_24.jpg	0	0.9	176.328	180.075	179.395	0
2	1	5	36	180.324	4	Aircraft2_90%_39.jpg	1	0.9	180.324	184.076	181.452	1
2	1	5	37	184.336	4	Aircraft2_90%_8.jpg	1	0.9	184.336	188.083	186.955	1
2	1	5	38	188.348	4	rest.jpg	NaN	NaN	188.348	192.1	192.348	NaN
2	1	5	39	192.334	4	rest.jpg	NaN	NaN	192.334	196.086	196.334	NaN
2	1	5	40	196.321	4	rest.jpg	NaN	NaN	196.321	200.07	200.321	NaN
2	1	6	41	200.328	4	Aircraft2_70%_18.jpg	1	0.75	200.328	204.081	201.999	1
2	1	6	42	204.328	4	Aircraft1_70%_29.jpg	0	0.75	204.328	208.077	205.49	0
2	1	6	43	208.324	4	Aircraft2_70%_1.jpg	1	0.75	208.324	212.074	211.208	1
2	1	6	44	212.337	4	Aircraft1_70%_26.jpg	0	0.75	212.337	216.084	214.211	0
2	1	6	45	216.334	4	Aircraft2_70%_34.jpg	1	0.75	216.334	220.083	218.078	1
2	1	6	46	220.339	4	rest.jpg	NaN	NaN	220.339	224.088	224.339	NaN
2	1	6	47	224.333	4	rest.jpg	NaN	NaN	224.333	228.082	228.333	NaN
2	1	6	48	228.316	4	rest.jpg	NaN	NaN	228.316	232.068	232.316	NaN
2	1	7	49	232.328	4	Aircraft2_10%_17.jpg	1	0.1	232.328	236.077	233.954	1
2	1	7	50	236.327	4	Aircraft2_10%_11.jpg	1	0.1	236.327	240.076	237.266	1
2	1	7	51	240.325	4	Aircraft1_10%_20.jpg	0	0.1	240.325	244.077	241.419	0
2	1	7	52	244.333	4	Aircraft2_10%_47.jpg	1	0.1	244.333	248.086	245.557	1
2	1	7	53	248.349	4	Aircraft2_10%_45.jpg	1	0.1	248.349	252.101	249.379	1
2	1	7	54	252.367	4	rest.jpg	NaN	NaN	252.367	256.114	256.367	NaN
2	1	7	55	256.348	4	rest.jpg	NaN	NaN	256.348	260.097	260.348	NaN
2	1	7	56	260.331	4	rest.jpg	NaN	NaN	260.331	264.078	264.331	NaN
2	1	8	57	264.339	4	Aircraft1_90%_25.jpg	0	0.9	264.339	268.088	266.423	0
2	1	8	58	268.337	4	Aircraft2_90%_49.jpg	1	0.9	268.337	272.09	270.927	1
2	1	8	59	272.339	4	Aircraft2_90%_10.jpg	1	0.9	272.339	276.085	273.749	1
2	1	8	60	276.332	4	Aircraft2_90%_12.jpg	1	0.9	276.332	280.08	277.468	1
2	1	8	61	280.335	4	Aircraft2_90%_7.jpg	1	0.9	280.335	284.083	281.705	1
2	1	8	62	284.338	4	rest.jpg	NaN	NaN	284.338	288.088	288.338	NaN
2	1	8	63	288.325	4	rest.jpg	NaN	NaN	288.325	292.074	292.325	NaN
2	1	8	64	292.308	4	rest.jpg	NaN	NaN	292.308	296.057	296.308	NaN
2	1	9	65	296.32	4	Aircraft1_70%_32.jpg	0	0.75	296.32	300.069	297.895	0
2	1	9	66	300.333	4	Aircraft1_70%_49.jpg	0	0.75	300.333	304.085	301.886	0
2	1	9	67	304.334	4	Aircraft2_70%_22.jpg	1	0.75	304.334	308.081	305.985	1
2	1	9	68	308.349	4	Aircraft1_70%_34.jpg	0	0.75	308.349	312.095	309.153	0
2	1	9	69	312.343	4	Aircraft1_70%_14.jpg	0	0.75	312.343	316.09	314.055	0
2	1	9	70	316.349	4	rest.jpg	NaN	NaN	316.349	320.102	320.349	NaN
2	1	9	71	320.335	4	rest.jpg	NaN	NaN	320.335	324.082	324.335	NaN
2	1	9	72	324.316	4	rest.jpg	NaN	NaN	324.316	328.069	328.316	NaN
2	1	10	73	328.33	4	Aircraft1_10%_1.jpg	0	0.1	328.33	332.08	329.755	0
2	1	10	74	332.331	4	Aircraft1_10%_47.jpg	0	0.1	332.331	336.078	334.374	0
2	1	10	75	336.342	4	Aircraft1_10%_40.jpg	0	0.1	336.342	340.089	338.143	0
2	1	10	76	340.354	4	Aircraft1_10%_27.jpg	0	0.1	340.354	344.106	342.536	0
2	1	10	77	344.36	4	Aircraft2_10%_35.jpg	1	0.1	344.36	348.113	346.657	1
2	1	10	78	348.361	4	rest.jpg	NaN	NaN	348.361	352.115	352.361	NaN
2	1	10	79	352.347	4	rest.jpg	NaN	NaN	352.347	356.101	356.347	NaN
2	1	10	80	356.333	4	rest.jpg	NaN	NaN	356.333	360.086	360.333	NaN
2	1	11	81	360.344	4	Aircraft1_90%_32.jpg	0	0.9	360.344	364.097	362.059	0
2	1	11	82	364.346	4	Aircraft1_90%_49.jpg	0	0.9	364.346	368.095	366.386	0
2	1	11	83	368.352	4	Aircraft2_90%_22.jpg	1	0.9	368.352	372.099	370.635	1
2	1	11	84	372.364	4	Aircraft1_90%_34.jpg	0	0.9	372.364	376.114	373.653	0
2	1	11	85	376.381	4	Aircraft1_90%_14.jpg	0	0.9	376.381	380.135	377.473	0
2	1	11	86	380.404	4	rest.jpg	NaN	NaN	380.404	384.15	384.404	NaN
2	1	11	87	384.382	4	rest.jpg	NaN	NaN	384.382	388.132	388.382	NaN
2	1	11	88	388.364	4	rest.jpg	NaN	NaN	388.364	392.111	392.364	NaN
2	1	12	89	392.361	4	Aircraft2_70%_24.jpg	1	0.75	392.361	396.112	394.237	1
2	1	12	90	396.371	4	Aircraft2_70%_2.jpg	1	0.75	396.371	400.124	397.427	1
2	1	12	91	400.373	4	Aircraft2_70%_43.jpg	1	0.75	400.373	404.122	401.408	1
2	1	12	92	404.377	4	Aircraft2_70%_46.jpg	1	0.75	404.377	408.124	405.403	1
2	1	12	93	408.392	4	Aircraft1_70%_42.jpg	0	0.75	408.392	412.141	409.184	0
2	1	12	94	412.407	4	rest.jpg	NaN	NaN	412.407	416.154	416.407	NaN
2	1	12	95	416.388	4	rest.jpg	NaN	NaN	416.388	420.14	420.388	NaN
2	1	12	96	420.372	4	rest.jpg	NaN	NaN	420.372	424.119	424.372	NaN
2	1	13	97	424.383	4	Aircraft2_10%_30.jpg	1	0.1	424.383	428.132	425.8	1
2	1	13	98	428.385	4	Aircraft2_10%_27.jpg	1	0.1	428.385	432.134	429.886	1
2	1	13	99	432.395	4	Aircraft2_10%_50.jpg	1	0.1	432.395	436.143	433.613	1
2	1	13	100	436.412	4	Aircraft2_10%_29.jpg	1	0.1	436.412	440.159	437.33	1
2	1	13	101	440.41	4	Aircraft1_10%_6.jpg	0	0.1	440.41	444.163	441.59	0
2	1	13	102	444.425	4	rest.jpg	NaN	NaN	444.425	448.175	448.425	NaN
2	1	13	103	448.409	4	rest.jpg	NaN	NaN	448.409	452.156	452.409	NaN
2	1	13	104	452.39	4	rest.jpg	NaN	NaN	452.39	456.142	456.39	NaN
2	1	14	105	456.39	4	Aircraft2_90%_18.jpg	1	0.9	456.39	460.143	458.899	1
2	1	14	106	460.39	4	Aircraft1_90%_29.jpg	0	0.9	460.39	464.138	462.153	0
2	1	14	107	464.403	4	Aircraft2_90%_1.jpg	1	0.9	464.403	468.152	466.133	1
2	1	14	108	468.401	4	Aircraft1_90%_26.jpg	0	0.9	468.401	472.153	472.401	0
2	1	14	109	472.417	4	Aircraft2_90%_34.jpg	1	0.9	472.417	476.164	475.831	1
2	1	14	110	476.43	4	rest.jpg	NaN	NaN	476.43	480.179	480.43	NaN
2	1	14	111	480.413	4	rest.jpg	NaN	NaN	480.413	484.167	484.413	NaN
2	1	14	112	484.404	4	rest.jpg	NaN	NaN	484.404	488.153	488.404	NaN
2	1	15	113	488.403	4	Aircraft1_70%_17.jpg	0	0.75	488.403	492.152	490.55	0
2	1	15	114	492.401	4	Aircraft2_70%_42.jpg	1	0.75	492.401	496.154	493.899	1
2	1	15	115	496.401	4	Aircraft2_70%_44.jpg	1	0.75	496.401	500.148	497.586	1
2	1	15	116	500.407	4	Aircraft1_70%_10.jpg	0	0.75	500.407	504.161	502.361	0
2	1	15	117	504.422	4	Aircraft2_70%_25.jpg	1	0.75	504.422	508.176	506.745	1
2	1	15	118	508.426	4	rest.jpg	NaN	NaN	508.426	512.179	512.426	NaN
2	1	15	119	512.423	4	rest.jpg	NaN	NaN	512.423	516.173	516.423	NaN
2	1	15	120	516.407	4	rest.jpg	NaN	NaN	516.407	520.16	520.407	NaN
2	1	16	121	520.427	4	Aircraft1_10%_38.jpg	0	0.1	520.427	524.174	521.521	0
2	1	16	122	524.429	4	Aircraft2_10%_21.jpg	1	0.1	524.429	528.176	525.466	1
2	1	16	123	528.427	4	Aircraft1_10%_16.jpg	0	0.1	528.427	532.175	529.431	0
2	1	16	124	532.424	4	Aircraft1_10%_46.jpg	0	0.1	532.424	536.172	534.048	0
2	1	16	125	536.42	4	Aircraft2_10%_40.jpg	1	0.1	536.42	540.168	537.52	1
2	1	16	126	540.427	4	rest.jpg	NaN	NaN	540.427	544.179	544.427	NaN
2	1	16	127	544.413	4	rest.jpg	NaN	NaN	544.413	548.161	548.413	NaN
2	1	16	128	548.395	4	rest.jpg	NaN	NaN	548.395	552.149	552.395	NaN
2	1	17	129	552.398	4	Aircraft2_90%_4.jpg	1	0.9	552.398	556.148	553.921	1
2	1	17	130	556.397	4	Aircraft1_90%_43.jpg	0	0.9	556.397	560.151	559.085	0
2	1	17	131	560.41	4	Aircraft1_90%_9.jpg	0	0.9	560.41	564.159	562.61	0
2	1	17	132	564.408	4	Aircraft1_90%_11.jpg	0	0.9	564.408	568.159	567.246	0
2	1	17	133	568.414	4	Aircraft1_90%_50.jpg	0	0.9	568.414	572.161	569.758	0
2	1	17	134	572.411	4	rest.jpg	NaN	NaN	572.411	576.163	576.411	NaN
2	1	17	135	576.397	4	rest.jpg	NaN	NaN	576.397	580.146	580.397	NaN
2	1	17	136	580.392	4	rest.jpg	NaN	NaN	580.392	584.145	584.392	NaN
2	1	18	137	584.395	4	Aircraft1_70%_12.jpg	0	0.75	584.395	588.145	586.509	0
2	1	18	138	588.411	4	Aircraft2_70%_32.jpg	1	0.75	588.411	592.161	590.173	1
2	1	18	139	592.411	4	Aircraft2_70%_48.jpg	1	0.75	592.411	596.158	593.702	1
2	1	18	140	596.408	4	Aircraft1_70%_19.jpg	0	0.75	596.408	600.158	598.807	0
2	1	18	141	600.421	4	Aircraft1_70%_33.jpg	0	0.75	600.421	604.173	603.53	0
2	1	18	142	604.421	4	rest.jpg	NaN	NaN	604.421	608.17	608.421	NaN
2	1	18	143	608.413	4	rest.jpg	NaN	NaN	608.413	612.165	612.413	NaN
2	1	18	144	612.408	4	rest.jpg	NaN	NaN	612.408	616.155	616.408	NaN
2	1	19	145	616.424	4	Aircraft2_10%_23.jpg	1	0.1	616.424	620.171	617.951	1
2	1	19	146	620.422	4	Aircraft1_10%_28.jpg	0	0.1	620.422	624.17	621.538	0
2	1	19	147	624.428	4	Aircraft2_10%_13.jpg	1	0.1	624.428	628.177	625.541	1
2	1	19	148	628.441	4	Aircraft1_10%_45.jpg	0	0.1	628.441	632.188	629.61	0
2	1	19	149	632.439	4	Aircraft1_10%_37.jpg	0	0.1	632.439	636.186	633.728	0
2	1	19	150	636.436	4	rest.jpg	NaN	NaN	636.436	640.184	640.436	NaN
2	1	19	151	640.416	4	rest.jpg	NaN	NaN	640.416	644.166	644.416	NaN
2	1	19	152	644.41	4	rest.jpg	NaN	NaN	644.41	648.162	648.41	NaN
2	1	20	153	648.415	4	Aircraft2_90%_33.jpg	1	0.9	648.415	652.169	649.863	1
2	1	20	154	652.434	4	Aircraft2_90%_38.jpg	1	0.9	652.434	656.188	654.712	1
2	1	20	155	656.454	4	Aircraft1_90%_30.jpg	0	0.9	656.454	660.207	658.907	0
2	1	20	156	660.473	4	Aircraft1_90%_41.jpg	0	0.9	660.473	664.222	663.076	0
2	1	20	157	664.477	4	Aircraft1_90%_18.jpg	0	0.9	664.477	668.227	665.63	0
2	1	20	158	668.49	4	rest.jpg	NaN	NaN	668.49	672.239	672.49	NaN
2	1	20	159	672.473	4	rest.jpg	NaN	NaN	672.473	676.219	676.473	NaN
2	1	20	160	676.459	4	rest.jpg	NaN	NaN	676.459	680.206	680.459	NaN
2	1	21	161	680.456	4	Aircraft2_70%_9.jpg	1	0.75	680.456	684.204	681.94	1
2	1	21	162	684.454	4	Aircraft2_70%_6.jpg	1	0.75	684.454	688.207	686.236	1
2	1	21	163	688.469	4	Aircraft1_70%_23.jpg	0	0.75	688.469	692.218	690.648	0
2	1	21	164	692.484	4	Aircraft1_70%_21.jpg	0	0.75	692.484	696.24	696.14	0
2	1	21	165	696.489	4	Aircraft2_70%_36.jpg	1	0.75	696.489	700.243	698.333	1
2	1	21	166	700.502	4	rest.jpg	NaN	NaN	700.502	704.254	704.502	NaN
2	1	21	167	704.499	4	rest.jpg	NaN	NaN	704.499	708.249	708.499	NaN
2	1	21	168	708.495	4	rest.jpg	NaN	NaN	708.495	712.243	712.495	NaN
2	1	22	169	712.493	4	Aircraft2_10%_41.jpg	1	0.1	712.493	716.242	713.818	1
2	1	22	170	716.498	4	Aircraft1_10%_22.jpg	0	0.1	716.498	720.25	717.25	0
2	1	22	171	720.513	4	Aircraft1_10%_44.jpg	0	0.1	720.513	724.26	721.41	0
2	1	22	172	724.528	4	Aircraft1_10%_1.jpg	0	0.1	724.528	728.275	725.304	0
2	1	22	173	728.542	4	Aircraft2_10%_37.jpg	1	0.1	728.542	732.295	730.067	1
2	1	22	174	732.544	4	rest.jpg	NaN	NaN	732.544	736.297	736.544	NaN
2	1	22	175	736.541	4	rest.jpg	NaN	NaN	736.541	740.294	740.541	NaN
2	1	22	176	740.528	4	rest.jpg	NaN	NaN	740.528	744.281	744.528	NaN
2	1	23	177	744.55	4	Aircraft2_90%_31.jpg	1	0.9	744.55	748.299	746.363	1
2	1	23	178	748.559	4	Aircraft1_90%_4.jpg	0	0.9	748.559	752.308	750.972	0
2	1	23	179	752.557	4	Aircraft2_90%_20.jpg	1	0.9	752.557	756.307	754.987	1
2	1	23	180	756.567	4	Aircraft1_90%_7.jpg	0	0.9	756.567	760.322	758.865	0
2	1	23	181	760.584	4	Aircraft1_90%_8.jpg	0	0.9	760.584	764.337	762.613	0
2	1	23	182	764.601	4	rest.jpg	NaN	NaN	764.601	768.353	768.601	NaN
2	1	23	183	768.589	4	rest.jpg	NaN	NaN	768.589	772.337	772.589	NaN
2	1	23	184	772.571	4	rest.jpg	NaN	NaN	772.571	776.318	776.571	NaN
2	1	24	185	776.578	4	Aircraft2_70%_14.jpg	1	0.75	776.578	780.331	777.759	1
2	1	24	186	780.595	4	Aircraft2_70%_5.jpg	1	0.75	780.595	784.343	783.269	1
2	1	24	187	784.592	4	Aircraft2_70%_15.jpg	1	0.75	784.592	788.347	788.592	1
2	1	24	188	788.606	4	Aircraft2_70%_19.jpg	1	0.75	788.606	792.353	791.379	1
2	1	24	189	792.619	4	Aircraft1_70%_31.jpg	0	0.75	792.619	796.366	793.84	0
2	1	24	190	796.616	4	rest.jpg	NaN	NaN	796.616	800.363	800.616	NaN
2	1	24	191	800.613	4	rest.jpg	NaN	NaN	800.613	804.366	804.613	NaN
2	1	24	192	804.6	4	rest.jpg	NaN	NaN	804.6	808.349	808.6	NaN
2	1	25	193	808.599	4	Aircraft2_10%_9.jpg	1	0.1	808.599	812.351	810.865	1
2	1	25	194	812.601	4	Aircraft2_10%_6.jpg	1	0.1	812.601	816.349	814.3	1
2	1	25	195	816.617	4	Aircraft1_10%_23.jpg	0	0.1	816.617	820.363	817.747	0
2	1	25	196	820.612	4	Aircraft1_10%_21.jpg	0	0.1	820.612	824.359	822.445	0
2	1	25	197	824.611	4	Aircraft2_10%_36.jpg	1	0.1	824.611	828.365	825.95	1
2	1	25	198	828.617	4	rest.jpg	NaN	NaN	828.617	832.371	832.617	NaN
2	1	25	199	832.617	4	rest.jpg	NaN	NaN	832.617	836.369	836.617	NaN
2	1	25	200	836.603	4	rest.jpg	NaN	NaN	836.603	840.35	840.603	NaN
2	1	26	201	840.6	4	Aircraft2_90%_24.jpg	1	0.9	840.6	844.353	844.6	1
2	1	26	202	844.614	4	Aircraft2_90%_2.jpg	1	0.9	844.614	848.365	845.988	1
2	1	26	203	848.614	4	Aircraft2_90%_43.jpg	1	0.9	848.614	852.368	849.711	1
2	1	26	204	852.626	4	Aircraft2_90%_46.jpg	1	0.9	852.626	856.373	853.632	1
2	1	26	205	856.621	4	Aircraft1_90%_42.jpg	0	0.9	856.621	860.37	858.402	0
2	1	26	206	860.632	4	rest.jpg	NaN	NaN	860.632	864.385	864.632	NaN
2	1	26	207	864.619	4	rest.jpg	NaN	NaN	864.619	868.372	868.619	NaN
2	1	26	208	868.606	4	rest.jpg	NaN	NaN	868.606	872.353	872.606	NaN
2	1	27	209	872.602	4	Aircraft1_70%_3.jpg	0	0.75	872.602	876.356	874.06	0
2	1	27	210	876.62	4	Aircraft2_70%_28.jpg	1	0.75	876.62	880.367	877.995	1
2	1	27	211	880.617	4	Aircraft1_70%_24.jpg	0	0.75	880.617	884.364	881.801	0
2	1	27	212	884.613	4	Aircraft2_70%_39.jpg	1	0.75	884.613	888.363	885.854	1
2	1	27	213	888.616	4	Aircraft2_70%_8.jpg	1	0.75	888.616	892.364	890.037	1
2	1	27	214	892.612	4	rest.jpg	NaN	NaN	892.612	896.364	896.612	NaN
2	1	27	215	896.61	4	rest.jpg	NaN	NaN	896.61	900.363	900.61	NaN
2	1	27	216	900.606	4	rest.jpg	NaN	NaN	900.606	904.353	904.606	NaN
2	1	28	217	904.614	4	Aircraft1_10%_12.jpg	0	0.1	904.614	908.361	905.467	0
2	1	28	218	908.63	4	Aircraft2_10%_32.jpg	1	0.1	908.63	912.379	910.259	1
2	1	28	219	912.646	4	Aircraft2_10%_48.jpg	1	0.1	912.646	916.396	913.9	1
2	1	28	220	916.652	4	Aircraft1_10%_19.jpg	0	0.1	916.652	920.407	917.646	0
2	1	28	221	920.659	4	Aircraft1_10%_33.jpg	0	0.1	920.659	924.408	922.251	0
2	1	28	222	924.677	4	rest.jpg	NaN	NaN	924.677	928.423	928.677	NaN
2	1	28	223	928.66	4	rest.jpg	NaN	NaN	928.66	932.413	932.66	NaN
2	1	28	224	932.647	4	rest.jpg	NaN	NaN	932.647	936.394	936.647	NaN
2	1	29	225	936.655	4	Aircraft1_90%_17.jpg	0	0.9	936.655	940.403	937.636	0
2	1	29	226	940.667	4	Aircraft2_90%_42.jpg	1	0.9	940.667	944.414	941.947	1
2	1	29	227	944.663	4	Aircraft2_90%_44.jpg	1	0.9	944.663	948.417	946.293	1
2	1	29	228	948.669	4	Aircraft1_90%_10.jpg	0	0.9	948.669	952.421	949.56	0
2	1	29	229	952.676	4	Aircraft2_90%_25.jpg	1	0.9	952.676	956.423	954.106	1
2	1	29	230	956.673	4	rest.jpg	NaN	NaN	956.673	960.425	960.673	NaN
2	1	29	231	960.669	4	rest.jpg	NaN	NaN	960.669	964.416	964.669	NaN
2	1	29	232	964.649	4	rest.jpg	NaN	NaN	964.649	968.403	968.649	NaN
2	1	30	233	968.65	4	Aircraft1_70%_25.jpg	0	0.75	968.65	972.403	969.869	0
2	1	30	234	972.657	4	Aircraft2_70%_49.jpg	1	0.75	972.657	976.41	974.271	1
2	1	30	235	976.67	4	Aircraft2_70%_10.jpg	1	0.75	976.67	980.419	977.806	1
2	1	30	236	980.67	4	Aircraft2_70%_12.jpg	1	0.75	980.67	984.42	981.879	1
2	1	30	237	984.669	4	Aircraft2_70%_7.jpg	1	0.75	984.669	988.416	987.44	1
2	1	30	238	988.666	4	rest.jpg	NaN	NaN	988.666	992.416	992.666	NaN
2	1	30	239	992.662	4	rest.jpg	NaN	NaN	992.662	996.411	996.662	NaN
2	1	30	240	996.66	4	rest.jpg	NaN	NaN	996.66	1000.409	1000.66	NaN
