onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix	stim_started_1	stim_stopped_1	key_time_1	key_fix_1
40.01	4	Aircraft1_10%_2.jpg	0	0.1	40.01	43.746	41.615	0	40.01	43.746	41.615	0
44.021	4	Aircraft1_10%_39.jpg	0	0.1	44.021	47.757	45.837	0	44.021	47.757	45.837	0
48.035	4	Aircraft2_10%_26.jpg	1	0.1	48.035	51.767	49.448	1	48.035	51.767	49.448	1
52.059	4	Aircraft1_10%_15.jpg	0	0.1	52.059	55.791	54.008	0	52.059	55.791	54.008	0
56.098	4	Aircraft2_10%_16.jpg	1	0.1	56.098	59.83	56.89	1	56.098	59.83	56.89	1
60.175	4	rest.jpg	NaN	NaN	60.175	63.905	64.175	NaN	60.175	63.905	64.175	NaN
64.154	4	rest.jpg	NaN	NaN	64.154	67.89	68.154	NaN	64.154	67.89	68.154	NaN
68.129	4	rest.jpg	NaN	NaN	68.129	71.866	72.129	NaN	68.129	71.866	72.129	NaN
72.151	4	Aircraft2_90%_14.jpg	1	0.9	72.151	75.883	74.42	1	72.151	75.883	74.42	1
76.205	4	Aircraft2_90%_5.jpg	1	0.9	76.205	79.935	77.688	1	76.205	79.935	77.688	1
80.216	4	Aircraft2_90%_15.jpg	1	0.9	80.216	83.949	82.532	1	80.216	83.949	82.532	1
84.229	4	Aircraft2_90%_19.jpg	1	0.9	84.229	87.958	85.817	1	84.229	87.958	85.817	1
88.268	4	Aircraft1_90%_31.jpg	0	0.9	88.268	92.005	90.224	0	88.268	92.005	90.224	0
92.291	4	rest.jpg	NaN	NaN	92.291	96.021	96.291	NaN	92.291	96.021	96.291	NaN
96.269	4	rest.jpg	NaN	NaN	96.269	99.999	100.269	NaN	96.269	99.999	100.269	NaN
100.251	4	rest.jpg	NaN	NaN	100.251	103.988	104.251	NaN	100.251	103.988	104.251	NaN
104.277	4	Aircraft2_70%_4.jpg	1	0.75	104.277	108.02	106.303	1	104.277	108.02	106.303	1
108.34	4	Aircraft1_70%_43.jpg	0	0.75	108.34	112.073	111.272	0	108.34	112.073	111.272	0
112.354	4	Aircraft1_70%_9.jpg	0	0.75	112.354	116.09	114.129	0	112.354	116.09	114.129	0
116.413	4	Aircraft1_70%_11.jpg	0	0.75	116.413	120.149	117.94	0	116.413	120.149	117.94	0
120.467	4	Aircraft1_70%_50.jpg	0	0.75	120.467	124.201	122.081	0	120.467	124.201	122.081	0
124.484	4	rest.jpg	NaN	NaN	124.484	128.214	128.484	NaN	124.484	128.214	128.484	NaN
128.45	4	rest.jpg	NaN	NaN	128.45	132.182	132.45	NaN	128.45	132.182	132.45	NaN
132.426	4	rest.jpg	NaN	NaN	132.426	136.156	136.426	NaN	132.426	136.156	136.426	NaN
136.44	4	Aircraft1_10%_36.jpg	0	0.1	136.44	140.178	138.211	0	136.44	140.178	138.211	0
