onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix	stim_started_1	stim_stopped_1	key_time_1	key_fix_1
40.016	4	Aircraft1_10%_17.jpg	0	0.1	40.016	43.746	42.128	0	40.016	43.746	42.128	0
44.023	4	Aircraft2_10%_42.jpg	1	0.1	44.023	47.76	46.46	1	44.023	47.76	46.46	1
48.068	4	Aircraft2_10%_44.jpg	1	0.1	48.068	51.803	50.621	1	48.068	51.803	50.621	1
52.125	4	Aircraft1_10%_10.jpg	0	0.1	52.125	55.854	54.227	0	52.125	55.854	54.227	0
56.129	4	Aircraft2_10%_25.jpg	1	0.1	56.129	59.858	57.957	1	56.129	59.858	57.957	1
60.167	4	rest.jpg	NaN	NaN	60.167	63.899	64.167	NaN	60.167	63.899	64.167	NaN
64.146	4	rest.jpg	NaN	NaN	64.146	67.877	68.146	NaN	64.146	67.877	68.146	NaN
68.111	4	rest.jpg	NaN	NaN	68.111	71.843	72.111	NaN	68.111	71.843	72.111	NaN
72.159	4	Aircraft1_90%_12.jpg	0	0.9	72.159	75.894	74.592	0	72.159	75.894	74.592	0
76.201	4	Aircraft2_90%_32.jpg	1	0.9	76.201	79.933	77.956	1	76.201	79.933	77.956	1
80.258	4	Aircraft2_90%_48.jpg	1	0.9	80.258	83.993	82.858	1	80.258	83.993	82.858	1
84.299	4	Aircraft1_90%_19.jpg	0	0.9	84.299	88.034	86.927	0	84.299	88.034	86.927	0
88.351	4	Aircraft1_90%_33.jpg	0	0.9	88.351	92.085	91.166	0	88.351	92.085	91.166	0
92.357	4	rest.jpg	NaN	NaN	92.357	96.089	96.357	NaN	92.357	96.089	96.357	NaN
96.323	4	rest.jpg	NaN	NaN	96.323	100.059	100.323	NaN	96.323	100.059	100.323	NaN
100.308	4	rest.jpg	NaN	NaN	100.308	104.036	104.308	NaN	100.308	104.036	104.308	NaN
104.344	4	Aircraft2_70%_33.jpg	1	0.75	104.344	108.076	106.086	1	104.344	108.076	106.086	1
108.379	4	Aircraft2_70%_38.jpg	1	0.75	108.379	112.108	110.68	1	108.379	112.108	110.68	1
112.417	4	Aircraft1_70%_30.jpg	0	0.75	112.417	116.151	114.751	0	112.417	116.151	114.751	0
