onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix	key_fix_1
40.007	4	Aircraft1_10%_2.jpg	0	0.1	40.007	43.744	42.415	0	0
44.029	4	Aircraft1_10%_39.jpg	0	0.1	44.029	47.76	45.308	0	0
48.047	4	Aircraft2_10%_26.jpg	1	0.1	48.047	51.778	49.978	1	1
52.071	4	Aircraft1_10%_15.jpg	0	0.1	52.071	55.804	53.797	0	0
56.08	4	Aircraft2_10%_16.jpg	1	0.1	56.08	59.816	57.289	1	1
60.105	4	rest.jpg	NaN	NaN	60.105	63.837	64.105	NaN	NaN
64.089	4	rest.jpg	NaN	NaN	64.089	67.825	68.089	NaN	NaN
68.062	4	rest.jpg	NaN	NaN	68.062	71.793	72.062	NaN	NaN
72.082	4	Aircraft2_90%_14.jpg	1	0.9	72.082	75.815	73.924	1	1
76.081	4	Aircraft2_90%_5.jpg	1	0.9	76.081	79.811	79.43	1	1
80.08	4	Aircraft2_90%_15.jpg	1	0.9	80.08	83.812	81.897	1	1
84.097	4	Aircraft2_90%_19.jpg	1	0.9	84.097	87.833	87.663	1	1
88.101	4	Aircraft1_90%_31.jpg	0	0.9	88.101	91.837	92.101	0	0
92.121	4	rest.jpg	NaN	NaN	92.121	95.858	96.121	NaN	NaN
96.094	4	rest.jpg	NaN	NaN	96.094	99.83	100.094	NaN	NaN
100.085	4	rest.jpg	NaN	NaN	100.085	103.82	104.085	NaN	NaN
104.1	4	Aircraft2_70%_4.jpg	1	0.75	104.1	107.829	107.276	1	1
108.114	4	Aircraft1_70%_43.jpg	0	0.75	108.114	111.851	111.001	0	0
112.141	4	Aircraft1_70%_9.jpg	0	0.75	112.141	115.872	116.141	0	0
116.157	4	Aircraft1_70%_11.jpg	0	0.75	116.157	119.893	118.803	0	0
120.182	4	Aircraft1_70%_50.jpg	0	0.75	120.182	123.912	123.419	0	0
124.193	4	rest.jpg	NaN	NaN	124.193	127.929	128.193	NaN	NaN
128.179	4	rest.jpg	NaN	NaN	128.179	131.915	132.179	NaN	NaN
132.15	4	rest.jpg	NaN	NaN	132.15	135.884	136.15	NaN	NaN
136.156	4	Aircraft1_10%_36.jpg	0	0.1	136.156	139.895	138.134	0	0
140.18	4	Aircraft1_10%_35.jpg	0	0.1	140.18	143.91	142.313	0	0
144.198	4	Aircraft2_10%_3.jpg	1	0.1	144.198	147.934	146.186	1	1
148.223	4	Aircraft1_10%_5.jpg	0	0.1	148.223	151.954	149.798	0	0
152.244	4	Aircraft1_10%_48.jpg	0	0.1	152.244	155.979	154.242	0	0
156.25	4	rest.jpg	NaN	NaN	156.25	159.982	160.25	NaN	NaN
160.223	4	rest.jpg	NaN	NaN	160.223	163.96	164.223	NaN	NaN
164.215	4	rest.jpg	NaN	NaN	164.215	167.951	168.215	NaN	NaN
168.24	4	Aircraft1_90%_3.jpg	0	0.9	168.24	171.97	170.221	0	0
172.238	4	Aircraft2_90%_28.jpg	1	0.9	172.238	175.969	176.238	1	1
176.241	4	Aircraft1_90%_24.jpg	0	0.9	176.241	179.973	176.325	0	0
180.252	4	Aircraft2_90%_39.jpg	1	0.9	180.252	183.984	181.91	1	1
184.267	4	Aircraft2_90%_8.jpg	1	0.9	184.267	187.999	186.673	1	1
188.287	4	rest.jpg	NaN	NaN	188.287	192.02	192.287	NaN	NaN
192.253	4	rest.jpg	NaN	NaN	192.253	195.989	196.253	NaN	NaN
196.24	4	rest.jpg	NaN	NaN	196.24	199.975	200.24	NaN	NaN
200.265	4	Aircraft2_70%_18.jpg	1	0.75	200.265	203.997	202.264	1	1
204.286	4	Aircraft1_70%_29.jpg	0	0.75	204.286	208.015	206.006	0	0
208.303	4	Aircraft2_70%_1.jpg	1	0.75	208.303	212.036	210.995	1	1
212.327	4	Aircraft1_70%_26.jpg	0	0.75	212.327	216.057	214.813	0	0
216.334	4	Aircraft2_70%_34.jpg	1	0.75	216.334	220.07	218.999	1	1
220.361	4	rest.jpg	NaN	NaN	220.361	224.1	224.361	NaN	NaN
224.334	4	rest.jpg	NaN	NaN	224.334	228.069	228.334	NaN	NaN
228.302	4	rest.jpg	NaN	NaN	228.302	232.04	232.302	NaN	NaN
232.31	4	Aircraft2_10%_17.jpg	1	0.1	232.31	236.046	233.896	1	1
236.32	4	Aircraft2_10%_11.jpg	1	0.1	236.32	240.052	237.745	1	1
240.343	4	Aircraft1_10%_20.jpg	0	0.1	240.343	244.079	241.214	0	0
244.352	4	Aircraft2_10%_47.jpg	1	0.1	244.352	248.087	245.519	1	1
248.355	4	Aircraft2_10%_45.jpg	1	0.1	248.355	252.086	249.671	1	1
252.357	4	rest.jpg	NaN	NaN	252.357	256.089	256.357	NaN	NaN
256.323	4	rest.jpg	NaN	NaN	256.323	260.055	260.323	NaN	NaN
260.304	4	rest.jpg	NaN	NaN	260.304	264.034	264.304	NaN	NaN
264.315	4	Aircraft1_90%_25.jpg	0	0.9	264.315	268.045	266.129	0	0
268.312	4	Aircraft2_90%_49.jpg	1	0.9	268.312	272.044	270.836	1	1
272.311	4	Aircraft2_90%_10.jpg	1	0.9	272.311	276.042	275.007	1	1
276.326	4	Aircraft2_90%_12.jpg	1	0.9	276.326	280.056	279.178	1	1
280.332	4	Aircraft2_90%_7.jpg	1	0.9	280.332	284.063	283.901	1	1
284.334	4	rest.jpg	NaN	NaN	284.334	288.073	288.334	NaN	NaN
288.307	4	rest.jpg	NaN	NaN	288.307	292.038	292.307	NaN	NaN
292.272	4	rest.jpg	NaN	NaN	292.272	296.007	296.272	NaN	NaN
296.293	4	Aircraft1_70%_32.jpg	0	0.75	296.293	300.025	298.522	0	0
300.298	4	Aircraft1_70%_49.jpg	0	0.75	300.298	304.035	302.9	0	0
304.304	4	Aircraft2_70%_22.jpg	1	0.75	304.304	308.035	306.11	1	1
308.309	4	Aircraft1_70%_34.jpg	0	0.75	308.309	312.043	310.548	0	0
312.314	4	Aircraft1_70%_14.jpg	0	0.75	312.314	316.044	315.846	0	0
316.327	4	rest.jpg	NaN	NaN	316.327	320.06	320.327	NaN	NaN
320.292	4	rest.jpg	NaN	NaN	320.292	324.025	324.292	NaN	NaN
324.259	4	rest.jpg	NaN	NaN	324.259	327.994	328.259	NaN	NaN
328.269	4	Aircraft1_10%_1.jpg	0	0.1	328.269	332.001	330.743	0	0
332.287	4	Aircraft1_10%_47.jpg	0	0.1	332.287	336.019	334.073	0	0
336.294	4	Aircraft1_10%_40.jpg	0	0.1	336.294	340.026	338.341	0	0
