onset	duration	stim_file	stim_started	stim_stopped	key_fix
39.988	4	Aircraft1_10%_2.jpg	39.988	43.723	1
43.998	4	Aircraft1_10%_39.jpg	43.998	47.73	1
47.993	4	Aircraft2_10%_26.jpg	47.993	51.726	1
52.01	4	Aircraft1_10%_15.jpg	52.01	55.744	1
56.012	4	Aircraft2_10%_16.jpg	56.012	59.749	1
60.029	4	rest.jpg	60.029	63.763	n/a
64.005	4	rest.jpg	64.005	67.744	n/a
67.974	4	rest.jpg	67.974	71.712	n/a
71.972	4	Aircraft2_90%_14.jpg	71.972	75.707	1
75.986	4	Aircraft2_90%_5.jpg	75.986	79.725	1
79.986	4	Aircraft2_90%_15.jpg	79.986	83.72	1
83.999	4	Aircraft2_90%_19.jpg	83.999	87.739	1
88	4	Aircraft1_90%_31.jpg	88	91.734	1
92.016	4	rest.jpg	92.016	95.751	n/a
96	4	rest.jpg	96	99.741	n/a
99.974	4	rest.jpg	99.974	103.711	n/a
103.996	4	Aircraft2_70%_4.jpg	103.996	107.731	1
108.029	4	Aircraft1_70%_43.jpg	108.029	111.762	1
112.049	4	Aircraft1_70%_9.jpg	112.049	115.788	1
116.057	4	Aircraft1_70%_11.jpg	116.057	119.79	1
120.059	4	Aircraft1_70%_50.jpg	120.059	123.792	1
124.059	4	rest.jpg	124.059	127.795	n/a
128.025	4	rest.jpg	128.025	131.759	n/a
131.989	4	rest.jpg	131.989	135.723	n/a
135.987	4	Aircraft1_10%_36.jpg	135.987	139.727	1
139.992	4	Aircraft1_10%_35.jpg	139.992	143.733	1
144.015	4	Aircraft2_10%_3.jpg	144.015	147.748	1
148.034	4	Aircraft1_10%_5.jpg	148.034	151.767	1
152.035	4	Aircraft1_10%_48.jpg	152.035	155.767	1
156.031	4	rest.jpg	156.031	159.764	n/a
160.015	4	rest.jpg	160.015	163.751	n/a
163.992	4	rest.jpg	163.992	167.73	n/a
167.989	4	Aircraft1_90%_3.jpg	167.989	171.727	1
172.002	4	Aircraft2_90%_28.jpg	172.002	175.738	1
175.999	4	Aircraft1_90%_24.jpg	175.999	179.733	1
180.009	4	Aircraft2_90%_39.jpg	180.009	183.749	1
184.03	4	Aircraft2_90%_8.jpg	184.03	187.764	1
188.049	4	rest.jpg	188.049	191.783	n/a
192.015	4	rest.jpg	192.015	195.748	n/a
195.978	4	rest.jpg	195.978	199.71	n/a
199.977	4	Aircraft2_70%_18.jpg	199.977	203.712	1
203.978	4	Aircraft1_70%_29.jpg	203.978	207.715	1
208	4	Aircraft2_70%_1.jpg	208	211.734	1
