sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
27	1	1	1	39.999	4	Aircraft1_10%_2.jpg	0	0.1	39.999	43.738	42.629	0
27	1	1	2	44.014	4	Aircraft1_10%_39.jpg	0	0.1	44.014	47.748	45.841	0
27	1	1	3	48.009	4	Aircraft2_10%_26.jpg	1	0.1	48.009	51.746	49.192	1
27	1	1	4	52.014	4	Aircraft1_10%_15.jpg	0	0.1	52.014	55.746	52.968	0
27	1	1	5	56.033	4	Aircraft2_10%_16.jpg	1	0.1	56.033	59.771	57.346	1
27	1	1	6	60.057	4	rest.jpg	n/a	n/a	60.057	63.793	64.057	n/a
27	1	1	7	64.031	4	rest.jpg	n/a	n/a	64.031	67.766	68.031	n/a
27	1	1	8	68.011	4	rest.jpg	n/a	n/a	68.011	71.744	72.011	n/a
27	1	2	9	72.005	4	Aircraft2_90%_14.jpg	1	0.9	72.005	75.74	74.709	1
27	1	2	10	76.001	4	Aircraft2_90%_5.jpg	1	0.9	76.001	79.734	78.313	1
27	1	2	11	80.011	4	Aircraft2_90%_15.jpg	1	0.9	80.011	83.746	84.011	1
27	1	2	12	84.023	4	Aircraft2_90%_19.jpg	1	0.9	84.023	87.756	84.319	1
27	1	2	13	88.026	4	Aircraft1_90%_31.jpg	0	0.9	88.026	91.764	90.16	0
27	1	2	14	92.042	4	rest.jpg	n/a	n/a	92.042	95.776	96.042	n/a
27	1	2	15	96.007	4	rest.jpg	n/a	n/a	96.007	99.741	100.007	n/a
27	1	2	16	99.991	4	rest.jpg	n/a	n/a	99.991	103.723	103.991	n/a
27	1	3	17	103.998	4	Aircraft2_70%_4.jpg	1	0.75	103.998	107.73	106.908	1
27	1	3	18	108.006	4	Aircraft1_70%_43.jpg	0	0.75	108.006	111.74	110.993	0
27	1	3	19	112.007	4	Aircraft1_70%_9.jpg	0	0.75	112.007	115.739	115.043	0
27	1	3	20	116.003	4	Aircraft1_70%_11.jpg	0	0.75	116.003	119.735	119.616	0
27	1	3	21	120.012	4	Aircraft1_70%_50.jpg	0	0.75	120.012	123.75	123.021	0
27	1	3	22	124.012	4	rest.jpg	n/a	n/a	124.012	127.746	128.012	n/a
27	1	3	23	127.987	4	rest.jpg	n/a	n/a	127.987	131.723	131.987	n/a
27	1	3	24	131.955	4	rest.jpg	n/a	n/a	131.955	135.688	135.955	n/a
27	1	4	25	135.968	4	Aircraft1_10%_36.jpg	0	0.1	135.968	139.709	137.805	0
27	1	4	26	139.985	4	Aircraft1_10%_35.jpg	0	0.1	139.985	143.724	141.281	0
27	1	4	27	143.988	4	Aircraft2_10%_3.jpg	1	0.1	143.988	147.721	144.934	1
27	1	4	28	147.987	4	Aircraft1_10%_5.jpg	0	0.1	147.987	151.722	148.877	0
27	1	4	29	151.997	4	Aircraft1_10%_48.jpg	0	0.1	151.997	155.738	153.506	0
27	1	4	30	156.002	4	rest.jpg	n/a	n/a	156.002	159.74	160.002	n/a
27	1	4	31	159.99	4	rest.jpg	n/a	n/a	159.99	163.723	163.99	n/a
27	1	4	32	163.955	4	rest.jpg	n/a	n/a	163.955	167.689	167.955	n/a
27	1	5	33	167.97	4	Aircraft1_90%_3.jpg	0	0.9	167.97	171.702	169.357	0
27	1	5	34	171.969	4	Aircraft2_90%_28.jpg	1	0.9	171.969	175.704	175.516	1
27	1	5	35	175.965	4	Aircraft1_90%_24.jpg	0	0.9	175.965	179.703	178.475	0
