sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
55	2	1	1	39.997	4	Aircraft1_10%_17.jpg	0	0.1	39.997	43.729	41.449	0
55	2	1	2	44.026	4	Aircraft2_10%_42.jpg	1	0.1	44.026	47.765	46.123	1
55	2	1	3	48.041	4	Aircraft2_10%_44.jpg	1	0.1	48.041	51.771	49.004	1
55	2	1	4	52.047	4	Aircraft1_10%_10.jpg	0	0.1	52.047	55.781	52.849	0
55	2	1	5	56.054	4	Aircraft2_10%_25.jpg	1	0.1	56.054	59.783	57.19	1
55	2	1	6	60.077	4	rest.jpg	n/a	n/a	60.077	63.806	64.077	n/a
55	2	1	7	64.04	4	rest.jpg	n/a	n/a	64.04	67.776	68.04	n/a
55	2	1	8	68.023	4	rest.jpg	n/a	n/a	68.023	71.759	72.023	n/a
55	2	2	9	72.044	4	Aircraft1_90%_12.jpg	0	0.9	72.044	75.779	73.692	0
55	2	2	10	76.048	4	Aircraft2_90%_32.jpg	1	0.9	76.048	79.781	78.202	1
55	2	2	11	80.066	4	Aircraft2_90%_48.jpg	1	0.9	80.066	83.795	81.667	1
55	2	2	12	84.083	4	Aircraft1_90%_19.jpg	0	0.9	84.083	87.817	85.404	0
55	2	2	13	88.085	4	Aircraft1_90%_33.jpg	0	0.9	88.085	91.814	90.015	0
55	2	2	14	92.099	4	rest.jpg	n/a	n/a	92.099	95.828	96.099	n/a
55	2	2	15	96.077	4	rest.jpg	n/a	n/a	96.077	99.808	100.077	n/a
55	2	2	16	100.042	4	rest.jpg	n/a	n/a	100.042	103.771	104.042	n/a
55	2	3	17	104.058	4	Aircraft2_70%_33.jpg	1	0.75	104.058	107.787	106.514	1
55	2	3	18	108.081	4	Aircraft2_70%_38.jpg	1	0.75	108.081	111.812	108.929	1
55	2	3	19	112.084	4	Aircraft1_70%_30.jpg	0	0.75	112.084	115.818	113.56	0
55	2	3	20	116.117	4	Aircraft1_70%_41.jpg	0	0.75	116.117	119.853	118.27	0
55	2	3	21	120.144	4	Aircraft1_70%_18.jpg	0	0.75	120.144	123.873	121.061	0
55	2	3	22	124.144	4	rest.jpg	n/a	n/a	124.144	127.879	128.144	n/a
55	2	3	23	128.13	4	rest.jpg	n/a	n/a	128.13	131.859	132.13	n/a
55	2	3	24	132.095	4	rest.jpg	n/a	n/a	132.095	135.827	136.095	n/a
55	2	4	25	136.105	4	Aircraft2_10%_24.jpg	1	0.1	136.105	139.84	137.355	1
55	2	4	26	140.129	4	Aircraft2_10%_2.jpg	1	0.1	140.129	143.86	141.251	1
55	2	4	27	144.152	4	Aircraft2_10%_43.jpg	1	0.1	144.152	147.881	145.083	1
55	2	4	28	148.172	4	Aircraft2_10%_46.jpg	1	0.1	148.172	151.901	149.551	1
55	2	4	29	152.182	4	Aircraft1_10%_42.jpg	0	0.1	152.182	155.918	152.892	0
55	2	4	30	156.205	4	rest.jpg	n/a	n/a	156.205	159.934	160.205	n/a
55	2	4	31	160.182	4	rest.jpg	n/a	n/a	160.182	163.913	164.182	n/a
55	2	4	32	164.149	4	rest.jpg	n/a	n/a	164.149	167.881	168.149	n/a
55	2	5	33	168.152	4	Aircraft2_90%_9.jpg	1	0.9	168.152	171.881	169.983	1
55	2	5	34	172.163	4	Aircraft2_90%_6.jpg	1	0.9	172.163	175.891	172.943	1
55	2	5	35	176.161	4	Aircraft1_90%_23.jpg	0	0.9	176.161	179.89	177.112	0
55	2	5	36	180.164	4	Aircraft1_90%_21.jpg	0	0.9	180.164	183.893	182.248	0
55	2	5	37	184.178	4	Aircraft2_90%_36.jpg	1	0.9	184.178	187.907	186.058	1
55	2	5	38	188.181	4	rest.jpg	n/a	n/a	188.181	191.912	192.181	n/a
55	2	5	39	192.161	4	rest.jpg	n/a	n/a	192.161	195.892	196.161	n/a
55	2	5	40	196.128	4	rest.jpg	n/a	n/a	196.128	199.86	200.128	n/a
55	2	6	41	200.153	4	Aircraft2_70%_31.jpg	1	0.75	200.153	203.889	202.392	1
55	2	6	42	204.178	4	Aircraft1_70%_4.jpg	0	0.75	204.178	207.907	205.137	0
55	2	6	43	208.181	4	Aircraft2_70%_20.jpg	1	0.75	208.181	211.909	210.072	1
55	2	6	44	212.205	4	Aircraft1_70%_7.jpg	0	0.75	212.205	215.934	214.119	0
