sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
45	1	1	1	40.023	4	Aircraft1_10%_2.jpg	0	0.1	40.023	43.757	41.627	0
45	1	1	2	44.028	4	Aircraft1_10%_39.jpg	0	0.1	44.028	47.761	45.263	0
45	1	1	3	48.031	4	Aircraft2_10%_26.jpg	1	0.1	48.031	51.763	49.205	1
45	1	1	4	52.039	4	Aircraft1_10%_15.jpg	0	0.1	52.039	55.775	53.394	0
45	1	1	5	56.058	4	Aircraft2_10%_16.jpg	1	0.1	56.058	59.787	57.054	1
45	1	1	6	60.058	4	rest.jpg	n/a	n/a	60.058	63.795	64.058	n/a
45	1	1	7	64.045	4	rest.jpg	n/a	n/a	64.045	67.782	68.045	n/a
45	1	1	8	68.015	4	rest.jpg	n/a	n/a	68.015	71.746	72.015	n/a
45	1	2	9	72.027	4	Aircraft2_90%_14.jpg	1	0.9	72.027	75.766	73.591	1
45	1	2	10	76.052	4	Aircraft2_90%_5.jpg	1	0.9	76.052	79.783	77.788	1
45	1	2	11	80.074	4	Aircraft2_90%_15.jpg	1	0.9	80.074	83.81	83.663	1
45	1	2	12	84.099	4	Aircraft2_90%_19.jpg	1	0.9	84.099	87.836	88.099	1
45	1	2	13	88.105	4	Aircraft1_90%_31.jpg	0	0.9	88.105	91.835	92.105	0
45	1	2	14	92.128	4	rest.jpg	n/a	n/a	92.128	95.862	96.128	n/a
45	1	2	15	96.097	4	rest.jpg	n/a	n/a	96.097	99.833	100.097	n/a
45	1	2	16	100.082	4	rest.jpg	n/a	n/a	100.082	103.812	104.082	n/a
45	1	3	17	104.084	4	Aircraft2_70%_4.jpg	1	0.75	104.084	107.816	106.502	1
45	1	3	18	108.115	4	Aircraft1_70%_43.jpg	0	0.75	108.115	111.85	110.15	0
45	1	3	19	112.146	4	Aircraft1_70%_9.jpg	0	0.75	112.146	115.882	114.645	0
45	1	3	20	116.156	4	Aircraft1_70%_11.jpg	0	0.75	116.156	119.892	119.387	0
45	1	3	21	120.186	4	Aircraft1_70%_50.jpg	0	0.75	120.186	123.916	122.746	0
45	1	3	22	124.19	4	rest.jpg	n/a	n/a	124.19	127.922	128.19	n/a
45	1	3	23	128.157	4	rest.jpg	n/a	n/a	128.157	131.886	132.157	n/a
45	1	3	24	132.141	4	rest.jpg	n/a	n/a	132.141	135.876	136.141	n/a
45	1	4	25	136.169	4	Aircraft1_10%_36.jpg	0	0.1	136.169	139.899	137.591	0
45	1	4	26	140.172	4	Aircraft1_10%_35.jpg	0	0.1	140.172	143.903	141.394	0
45	1	4	27	144.19	4	Aircraft2_10%_3.jpg	1	0.1	144.19	147.926	146.138	1
45	1	4	28	148.215	4	Aircraft1_10%_5.jpg	0	0.1	148.215	151.953	149.426	0
45	1	4	29	152.251	4	Aircraft1_10%_48.jpg	0	0.1	152.251	155.986	153.425	0
45	1	4	30	156.274	4	rest.jpg	n/a	n/a	156.274	160.004	160.274	n/a
45	1	4	31	160.258	4	rest.jpg	n/a	n/a	160.258	163.993	164.258	n/a
45	1	4	32	164.227	4	rest.jpg	n/a	n/a	164.227	167.957	168.227	n/a
45	1	5	33	168.246	4	Aircraft1_90%_3.jpg	0	0.9	168.246	171.979	171.103	0
45	1	5	34	172.26	4	Aircraft2_90%_28.jpg	1	0.9	172.26	175.99	174.368	1
45	1	5	35	176.273	4	Aircraft1_90%_24.jpg	0	0.9	176.273	180.008	179.445	0
45	1	5	36	180.295	4	Aircraft2_90%_39.jpg	1	0.9	180.295	184.027	182.605	1
45	1	5	37	184.312	4	Aircraft2_90%_8.jpg	1	0.9	184.312	188.043	187.358	1
45	1	5	38	188.315	4	rest.jpg	n/a	n/a	188.315	192.045	192.315	n/a
