sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
48	1	1	1	39.999	4	Aircraft1_10%_2.jpg	0	0.1	39.999	43.738	41.588	0
48	1	1	2	44.022	4	Aircraft1_10%_39.jpg	0	0.1	44.022	47.758	45.951	0
48	1	1	3	48.029	4	Aircraft2_10%_26.jpg	1	0.1	48.029	51.769	48.889	1
48	1	1	4	52.065	4	Aircraft1_10%_15.jpg	0	0.1	52.065	55.802	53.38	0
48	1	1	5	56.08	4	Aircraft2_10%_16.jpg	1	0.1	56.08	59.811	57.289	1
48	1	1	6	60.098	4	rest.jpg	n/a	n/a	60.098	63.831	64.098	n/a
48	1	1	7	64.067	4	rest.jpg	n/a	n/a	64.067	67.797	68.067	n/a
48	1	1	8	68.043	4	rest.jpg	n/a	n/a	68.043	71.775	72.043	n/a
48	1	2	9	72.041	4	Aircraft2_90%_14.jpg	1	0.9	72.041	75.779	74.033	1
48	1	2	10	76.048	4	Aircraft2_90%_5.jpg	1	0.9	76.048	79.78	78.237	1
48	1	2	11	80.068	4	Aircraft2_90%_15.jpg	1	0.9	80.068	83.798	83.031	1
48	1	2	12	84.078	4	Aircraft2_90%_19.jpg	1	0.9	84.078	87.813	85.606	1
48	1	2	13	88.085	4	Aircraft1_90%_31.jpg	0	0.9	88.085	91.818	89.989	0
48	1	2	14	92.109	4	rest.jpg	n/a	n/a	92.109	95.839	96.109	n/a
48	1	2	15	96.091	4	rest.jpg	n/a	n/a	96.091	99.827	100.091	n/a
48	1	2	16	100.076	4	rest.jpg	n/a	n/a	100.076	103.808	104.076	n/a
48	1	3	17	104.105	4	Aircraft2_70%_4.jpg	1	0.75	104.105	107.837	105.592	1
48	1	3	18	108.13	4	Aircraft1_70%_43.jpg	0	0.75	108.13	111.862	110.594	0
48	1	3	19	112.143	4	Aircraft1_70%_9.jpg	0	0.75	112.143	115.873	115.06	0
48	1	3	20	116.17	4	Aircraft1_70%_11.jpg	0	0.75	116.17	119.902	120.17	0
48	1	3	21	120.182	4	Aircraft1_70%_50.jpg	0	0.75	120.182	123.914	122.325	0
48	1	3	22	124.204	4	rest.jpg	n/a	n/a	124.204	127.94	128.204	n/a
48	1	3	23	128.191	4	rest.jpg	n/a	n/a	128.191	131.921	132.191	n/a
48	1	3	24	132.174	4	rest.jpg	n/a	n/a	132.174	135.909	136.174	n/a
48	1	4	25	136.183	4	Aircraft1_10%_36.jpg	0	0.1	136.183	139.913	138.846	0
48	1	4	26	140.19	4	Aircraft1_10%_35.jpg	0	0.1	140.19	143.92	141.277	0
48	1	4	27	144.191	4	Aircraft2_10%_3.jpg	1	0.1	144.191	147.927	145.062	1
48	1	4	28	148.208	4	Aircraft1_10%_5.jpg	0	0.1	148.208	151.938	150.042	0
48	1	4	29	152.216	4	Aircraft1_10%_48.jpg	0	0.1	152.216	155.946	154.069	0
48	1	4	30	156.235	4	rest.jpg	n/a	n/a	156.235	159.965	160.235	n/a
48	1	4	31	160.218	4	rest.jpg	n/a	n/a	160.218	163.95	164.218	n/a
48	1	4	32	164.204	4	rest.jpg	n/a	n/a	164.204	167.941	168.204	n/a
