sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
35	2	1	1	39.99	4	Aircraft1_10%_17.jpg	0	0.1	39.99	43.722	41.214	0
35	2	1	2	44.018	4	Aircraft2_10%_42.jpg	1	0.1	44.018	47.75	44.939	1
35	2	1	3	48.02	4	Aircraft2_10%_44.jpg	1	0.1	48.02	51.749	48.819	1
35	2	1	4	52.026	4	Aircraft1_10%_10.jpg	0	0.1	52.026	55.761	52.753	0
35	2	1	5	56.044	4	Aircraft2_10%_25.jpg	1	0.1	56.044	59.776	56.778	1
35	2	1	6	60.046	4	rest.jpg	n/a	n/a	60.046	63.782	64.046	n/a
35	2	1	7	64.016	4	rest.jpg	n/a	n/a	64.016	67.751	68.016	n/a
35	2	1	8	68	4	rest.jpg	n/a	n/a	68	71.732	72	n/a
35	2	2	9	71.999	4	Aircraft1_90%_12.jpg	0	0.9	71.999	75.731	75.526	0
35	2	2	10	75.999	4	Aircraft2_90%_32.jpg	1	0.9	75.999	79.729	76.903	1
35	2	2	11	79.996	4	Aircraft2_90%_48.jpg	1	0.9	79.996	83.733	81.414	1
35	2	2	12	84.019	4	Aircraft1_90%_19.jpg	0	0.9	84.019	87.752	85.687	0
35	2	2	13	88.019	4	Aircraft1_90%_33.jpg	0	0.9	88.019	91.755	90.074	0
35	2	2	14	92.041	4	rest.jpg	n/a	n/a	92.041	95.774	96.041	n/a
35	2	2	15	96.022	4	rest.jpg	n/a	n/a	96.022	99.753	100.022	n/a
35	2	2	16	99.987	4	rest.jpg	n/a	n/a	99.987	103.72	103.987	n/a
35	2	3	17	104.004	4	Aircraft2_70%_33.jpg	1	0.75	104.004	107.744	106.065	1
35	2	3	18	108.034	4	Aircraft2_70%_38.jpg	1	0.75	108.034	111.767	108.97	1
35	2	3	19	112.041	4	Aircraft1_70%_30.jpg	0	0.75	112.041	115.776	114.169	0
35	2	3	20	116.055	4	Aircraft1_70%_41.jpg	0	0.75	116.055	119.789	118.175	0
35	2	3	21	120.076	4	Aircraft1_70%_18.jpg	0	0.75	120.076	123.81	120.995	0
35	2	3	22	124.078	4	rest.jpg	n/a	n/a	124.078	127.806	128.078	n/a
35	2	3	23	128.055	4	rest.jpg	n/a	n/a	128.055	131.787	132.055	n/a
35	2	3	24	132.034	4	rest.jpg	n/a	n/a	132.034	135.767	136.034	n/a
35	2	4	25	136.034	4	Aircraft2_10%_24.jpg	1	0.1	136.034	139.771	137.507	1
35	2	4	26	140.062	4	Aircraft2_10%_2.jpg	1	0.1	140.062	143.798	140.952	1
35	2	4	27	144.067	4	Aircraft2_10%_43.jpg	1	0.1	144.067	147.796	145.146	1
35	2	4	28	148.065	4	Aircraft2_10%_46.jpg	1	0.1	148.065	151.796	148.935	1
35	2	4	29	152.082	4	Aircraft1_10%_42.jpg	0	0.1	152.082	155.811	153.231	0
35	2	4	30	156.092	4	rest.jpg	n/a	n/a	156.092	159.824	160.092	n/a
35	2	4	31	160.057	4	rest.jpg	n/a	n/a	160.057	163.79	164.057	n/a
35	2	4	32	164.021	4	rest.jpg	n/a	n/a	164.021	167.756	168.021	n/a
35	2	5	33	168.03	4	Aircraft2_90%_9.jpg	1	0.9	168.03	171.766	172.03	1
35	2	5	34	172.047	4	Aircraft2_90%_6.jpg	1	0.9	172.047	175.784	174.392	1
35	2	5	35	176.056	4	Aircraft1_90%_23.jpg	0	0.9	176.056	179.792	180.056	0
35	2	5	36	180.063	4	Aircraft1_90%_21.jpg	0	0.9	180.063	183.792	181.422	0
35	2	5	37	184.063	4	Aircraft2_90%_36.jpg	1	0.9	184.063	187.792	185.164	1
35	2	5	38	188.076	4	rest.jpg	n/a	n/a	188.076	191.81	192.076	n/a
35	2	5	39	192.056	4	rest.jpg	n/a	n/a	192.056	195.787	196.056	n/a
35	2	5	40	196.022	4	rest.jpg	n/a	n/a	196.022	199.753	200.022	n/a
35	2	6	41	200.038	4	Aircraft2_70%_31.jpg	1	0.75	200.038	203.773	201.131	1
35	2	6	42	204.064	4	Aircraft1_70%_4.jpg	0	0.75	204.064	207.799	205.214	0
35	2	6	43	208.073	4	Aircraft2_70%_20.jpg	1	0.75	208.073	211.805	209.659	1
