sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
10	1	1	1	39.998	4	Aircraft1_10%_2.jpg	0	0.1	39.998	43.731	41.114	0
10	1	1	2	44.019	4	Aircraft1_10%_39.jpg	0	0.1	44.019	47.752	45.38	0
10	1	1	3	48.038	4	Aircraft2_10%_26.jpg	1	0.1	48.038	51.772	48.829	1
10	1	1	4	52.049	4	Aircraft1_10%_15.jpg	0	0.1	52.049	55.786	53.028	0
10	1	1	5	56.081	4	Aircraft2_10%_16.jpg	1	0.1	56.081	59.814	56.789	1
10	1	1	6	60.106	4	rest.jpg	n/a	n/a	60.106	63.843	64.106	n/a
10	1	1	7	64.092	4	rest.jpg	n/a	n/a	64.092	67.823	68.092	n/a
10	1	1	8	68.075	4	rest.jpg	n/a	n/a	68.075	71.806	72.075	n/a
10	1	2	9	72.092	4	Aircraft2_90%_14.jpg	1	0.9	72.092	75.823	73.534	1
10	1	2	10	76.106	4	Aircraft2_90%_5.jpg	1	0.9	76.106	79.838	77.008	1
10	1	2	11	80.12	4	Aircraft2_90%_15.jpg	1	0.9	80.12	83.852	84.12	1
10	1	2	12	84.119	4	Aircraft2_90%_19.jpg	1	0.9	84.119	87.85	85.896	1
10	1	2	13	88.13	4	Aircraft1_90%_31.jpg	0	0.9	88.13	91.868	89.839	0
10	1	2	14	92.14	4	rest.jpg	n/a	n/a	92.14	95.87	96.14	n/a
10	1	2	15	96.105	4	rest.jpg	n/a	n/a	96.105	99.841	100.105	n/a
10	1	2	16	100.093	4	rest.jpg	n/a	n/a	100.093	103.83	104.093	n/a
10	1	3	17	104.12	4	Aircraft2_70%_4.jpg	1	0.75	104.12	107.85	105.057	1
10	1	3	18	108.125	4	Aircraft1_70%_43.jpg	0	0.75	108.125	111.858	110.156	0
10	1	3	19	112.134	4	Aircraft1_70%_9.jpg	0	0.75	112.134	115.864	116.134	0
10	1	3	20	116.152	4	Aircraft1_70%_11.jpg	0	0.75	116.152	119.887	117.663	0
10	1	3	21	120.162	4	Aircraft1_70%_50.jpg	0	0.75	120.162	123.897	121.025	0
10	1	3	22	124.185	4	rest.jpg	n/a	n/a	124.185	127.917	128.185	n/a
10	1	3	23	128.17	4	rest.jpg	n/a	n/a	128.17	131.907	132.17	n/a
10	1	3	24	132.158	4	rest.jpg	n/a	n/a	132.158	135.89	136.158	n/a
10	1	4	25	136.162	4	Aircraft1_10%_36.jpg	0	0.1	136.162	139.894	137.359	0
10	1	4	26	140.179	4	Aircraft1_10%_35.jpg	0	0.1	140.179	143.911	141.253	0
10	1	4	27	144.183	4	Aircraft2_10%_3.jpg	1	0.1	144.183	147.92	145.021	1
10	1	4	28	148.211	4	Aircraft1_10%_5.jpg	0	0.1	148.211	151.942	149.085	0
10	1	4	29	152.237	4	Aircraft1_10%_48.jpg	0	0.1	152.237	155.969	153.643	0
10	1	4	30	156.241	4	rest.jpg	n/a	n/a	156.241	159.978	160.241	n/a
10	1	4	31	160.236	4	rest.jpg	n/a	n/a	160.236	163.967	164.236	n/a
10	1	4	32	164.22	4	rest.jpg	n/a	n/a	164.22	167.953	168.22	n/a
10	1	5	33	168.24	4	Aircraft1_90%_3.jpg	0	0.9	168.24	171.976	169.052	0
10	1	5	34	172.244	4	Aircraft2_90%_28.jpg	1	0.9	172.244	175.977	173.336	1
10	1	5	35	176.262	4	Aircraft1_90%_24.jpg	0	0.9	176.262	179.994	177.118	0
10	1	5	36	180.278	4	Aircraft2_90%_39.jpg	1	0.9	180.278	184.01	181.275	1
10	1	5	37	184.279	4	Aircraft2_90%_8.jpg	1	0.9	184.279	188.016	185.663	1
10	1	5	38	188.297	4	rest.jpg	n/a	n/a	188.297	192.027	192.297	n/a
10	1	5	39	192.275	4	rest.jpg	n/a	n/a	192.275	196.011	196.275	n/a
10	1	5	40	196.263	4	rest.jpg	n/a	n/a	196.263	199.999	200.263	n/a
10	1	6	41	200.274	4	Aircraft2_70%_18.jpg	1	0.75	200.274	204.009	200.893	1
10	1	6	42	204.302	4	Aircraft1_70%_29.jpg	0	0.75	204.302	208.039	205.276	0
10	1	6	43	208.33	4	Aircraft2_70%_1.jpg	1	0.75	208.33	212.06	210.201	1
10	1	6	44	212.348	4	Aircraft1_70%_26.jpg	0	0.75	212.348	216.082	213.321	0
10	1	6	45	216.371	4	Aircraft2_70%_34.jpg	1	0.75	216.371	220.102	217.384	1
10	1	6	46	220.389	4	rest.jpg	n/a	n/a	220.389	224.122	224.389	n/a
10	1	6	47	224.371	4	rest.jpg	n/a	n/a	224.371	228.102	228.371	n/a
10	1	6	48	228.351	4	rest.jpg	n/a	n/a	228.351	232.086	232.351	n/a
10	1	7	49	232.365	4	Aircraft2_10%_17.jpg	1	0.1	232.365	236.101	233.45	1
10	1	7	50	236.391	4	Aircraft2_10%_11.jpg	1	0.1	236.391	240.127	238.329	1
10	1	7	51	240.418	4	Aircraft1_10%_20.jpg	0	0.1	240.418	244.148	241.172	0
10	1	7	52	244.423	4	Aircraft2_10%_47.jpg	1	0.1	244.423	248.155	245.187	1
10	1	7	53	248.439	4	Aircraft2_10%_45.jpg	1	0.1	248.439	252.173	250.723	1
10	1	7	54	252.442	4	rest.jpg	n/a	n/a	252.442	256.178	256.442	n/a
10	1	7	55	256.409	4	rest.jpg	n/a	n/a	256.409	260.142	260.409	n/a
10	1	7	56	260.376	4	rest.jpg	n/a	n/a	260.376	264.112	264.376	n/a
10	1	8	57	264.381	4	Aircraft1_90%_25.jpg	0	0.9	264.381	268.111	265.044	0
10	1	8	58	268.389	4	Aircraft2_90%_49.jpg	1	0.9	268.389	272.122	269.722	1
10	1	8	59	272.389	4	Aircraft2_90%_10.jpg	1	0.9	272.389	276.119	273.862	1
10	1	8	60	276.398	4	Aircraft2_90%_12.jpg	1	0.9	276.398	280.134	277.716	1
10	1	8	61	280.403	4	Aircraft2_90%_7.jpg	1	0.9	280.403	284.134	281.257	1
10	1	8	62	284.416	4	rest.jpg	n/a	n/a	284.416	288.152	288.416	n/a
10	1	8	63	288.384	4	rest.jpg	n/a	n/a	288.384	292.116	292.384	n/a
10	1	8	64	292.359	4	rest.jpg	n/a	n/a	292.359	296.094	296.359	n/a
10	1	9	65	296.378	4	Aircraft1_70%_32.jpg	0	0.75	296.378	300.113	297.598	0
10	1	9	66	300.403	4	Aircraft1_70%_49.jpg	0	0.75	300.403	304.136	301.58	0
10	1	9	67	304.419	4	Aircraft2_70%_22.jpg	1	0.75	304.419	308.152	305.466	1
10	1	9	68	308.444	4	Aircraft1_70%_34.jpg	0	0.75	308.444	312.18	309.242	0
10	1	9	69	312.466	4	Aircraft1_70%_14.jpg	0	0.75	312.466	316.203	314.259	0
10	1	9	70	316.485	4	rest.jpg	n/a	n/a	316.485	320.217	320.485	n/a
10	1	9	71	320.463	4	rest.jpg	n/a	n/a	320.463	324.192	324.463	n/a
10	1	9	72	324.424	4	rest.jpg	n/a	n/a	324.424	328.156	328.424	n/a
10	1	10	73	328.448	4	Aircraft1_10%_1.jpg	0	0.1	328.448	332.178	329.317	0
10	1	10	74	332.465	4	Aircraft1_10%_47.jpg	0	0.1	332.465	336.195	333.601	0
10	1	10	75	336.471	4	Aircraft1_10%_40.jpg	0	0.1	336.471	340.208	337.382	0
10	1	10	76	340.487	4	Aircraft1_10%_27.jpg	0	0.1	340.487	344.219	341.934	0
10	1	10	77	344.502	4	Aircraft2_10%_35.jpg	1	0.1	344.502	348.232	345.236	1
10	1	10	78	348.518	4	rest.jpg	n/a	n/a	348.518	352.248	352.518	n/a
