sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
12	2	1	1	39.984	4	Aircraft1_10%_17.jpg	0	0.1	39.984	43.719	42.483	0
12	2	1	2	44	4	Aircraft2_10%_42.jpg	1	0.1	44	47.74	45.238	1
12	2	1	3	48.035	4	Aircraft2_10%_44.jpg	1	0.1	48.035	51.779	49.123	1
12	2	1	4	52.047	4	Aircraft1_10%_10.jpg	0	0.1	52.047	55.783	52.944	0
12	2	1	5	56.065	4	Aircraft2_10%_25.jpg	1	0.1	56.065	59.804	57.073	1
12	2	1	6	60.069	4	rest.jpg	n/a	n/a	60.069	63.805	64.069	n/a
12	2	1	7	64.057	4	rest.jpg	n/a	n/a	64.057	67.794	68.057	n/a
12	2	1	8	68.044	4	rest.jpg	n/a	n/a	68.044	71.78	72.044	n/a
12	2	2	9	72.111	4	Aircraft1_90%_12.jpg	0	0.9	72.111	75.845	73.612	0
12	2	2	10	76.161	4	Aircraft2_90%_32.jpg	1	0.9	76.161	79.897	78.033	1
12	2	2	11	80.165	4	Aircraft2_90%_48.jpg	1	0.9	80.165	83.899	80.992	1
12	2	2	12	84.2	4	Aircraft1_90%_19.jpg	0	0.9	84.2	87.936	85.461	0
12	2	2	13	88.224	4	Aircraft1_90%_33.jpg	0	0.9	88.224	91.963	89.774	0
12	2	2	14	92.242	4	rest.jpg	n/a	n/a	92.242	95.981	96.242	n/a
12	2	2	15	96.229	4	rest.jpg	n/a	n/a	96.229	99.965	100.229	n/a
12	2	2	16	100.214	4	rest.jpg	n/a	n/a	100.214	103.951	104.214	n/a
12	2	3	17	104.215	4	Aircraft2_70%_33.jpg	1	0.75	104.215	107.948	105.959	1
12	2	3	18	108.262	4	Aircraft2_70%_38.jpg	1	0.75	108.262	111.996	108.944	1
12	2	3	19	112.295	4	Aircraft1_70%_30.jpg	0	0.75	112.295	116.035	113.101	0
12	2	3	20	116.302	4	Aircraft1_70%_41.jpg	0	0.75	116.302	120.039	117.533	0
12	2	3	21	120.354	4	Aircraft1_70%_18.jpg	0	0.75	120.354	124.097	121.883	0
12	2	3	22	124.361	4	rest.jpg	n/a	n/a	124.361	128.097	128.361	n/a
12	2	3	23	128.348	4	rest.jpg	n/a	n/a	128.348	132.082	132.348	n/a
12	2	3	24	132.314	4	rest.jpg	n/a	n/a	132.314	136.048	136.314	n/a
12	2	4	25	136.346	4	Aircraft2_10%_24.jpg	1	0.1	136.346	140.08	137.629	1
12	2	4	26	140.361	4	Aircraft2_10%_2.jpg	1	0.1	140.361	144.1	141.033	1
12	2	4	27	144.454	4	Aircraft2_10%_43.jpg	1	0.1	144.454	148.193	145.455	1
12	2	4	28	148.521	4	Aircraft2_10%_46.jpg	1	0.1	148.521	152.261	149.766	1
12	2	4	29	152.527	4	Aircraft1_10%_42.jpg	0	0.1	152.527	156.261	153.422	0
12	2	4	30	156.523	4	rest.jpg	n/a	n/a	156.523	160.257	160.523	n/a
12	2	4	31	160.489	4	rest.jpg	n/a	n/a	160.489	164.225	164.489	n/a
12	2	4	32	164.457	4	rest.jpg	n/a	n/a	164.457	168.197	168.457	n/a
12	2	5	33	168.457	4	Aircraft2_90%_9.jpg	1	0.9	168.457	172.198	170.327	1
12	2	5	34	172.514	4	Aircraft2_90%_6.jpg	1	0.9	172.514	176.254	174.145	1
12	2	5	35	176.535	4	Aircraft1_90%_23.jpg	0	0.9	176.535	180.27	178.114	0
12	2	5	36	180.583	4	Aircraft1_90%_21.jpg	0	0.9	180.583	184.32	182.02	0
12	2	5	37	184.581	4	Aircraft2_90%_36.jpg	1	0.9	184.581	188.315	186.272	1
12	2	5	38	188.594	4	rest.jpg	n/a	n/a	188.594	192.333	192.594	n/a
12	2	5	39	192.58	4	rest.jpg	n/a	n/a	192.58	196.314	196.58	n/a
12	2	5	40	196.565	4	rest.jpg	n/a	n/a	196.565	200.299	200.565	n/a
12	2	6	41	200.601	4	Aircraft2_70%_31.jpg	1	0.75	200.601	204.335	201.567	1
12	2	6	42	204.617	4	Aircraft1_70%_4.jpg	0	0.75	204.617	208.356	205.656	0
12	2	6	43	208.639	4	Aircraft2_70%_20.jpg	1	0.75	208.639	212.373	210.095	1
12	2	6	44	212.643	4	Aircraft1_70%_7.jpg	0	0.75	212.643	216.382	214.247	0
12	2	6	45	216.709	4	Aircraft1_70%_8.jpg	0	0.75	216.709	220.445	218.303	0
12	2	6	46	220.71	4	rest.jpg	n/a	n/a	220.71	224.444	224.71	n/a
12	2	6	47	224.676	4	rest.jpg	n/a	n/a	224.676	228.411	228.676	n/a
12	2	6	48	228.66	4	rest.jpg	n/a	n/a	228.66	232.4	232.66	n/a
12	2	7	49	232.722	4	Aircraft2_10%_31.jpg	1	0.1	232.722	236.456	234.105	1
12	2	7	50	236.724	4	Aircraft1_10%_4.jpg	0	0.1	236.724	240.466	238.065	0
12	2	7	51	240.751	4	Aircraft2_10%_20.jpg	1	0.1	240.751	244.487	241.643	1
