onset	duration	stim_file	stim_started	stim_stopped	key_fix
40.024	4	Aircraft1_10%_2.jpg	40.024	43.756	1
44.044	4	Aircraft1_10%_39.jpg	44.044	47.777	1
48.083	4	Aircraft2_10%_26.jpg	48.083	51.819	1
52.106	4	Aircraft1_10%_15.jpg	52.106	55.841	1
56.173	4	Aircraft2_10%_16.jpg	56.173	59.906	1
60.188	4	rest.jpg	60.188	63.923	n/a
64.159	4	rest.jpg	64.159	67.889	n/a
68.127	4	rest.jpg	68.127	71.858	n/a
72.174	4	Aircraft2_90%_14.jpg	72.174	75.905	1
76.229	4	Aircraft2_90%_5.jpg	76.229	79.964	1
80.273	4	Aircraft2_90%_15.jpg	80.273	84.003	1
84.325	4	Aircraft2_90%_19.jpg	84.325	88.055	1
88.334	4	Aircraft1_90%_31.jpg	88.334	92.069	1
92.339	4	rest.jpg	92.339	96.071	n/a
96.32	4	rest.jpg	96.32	100.05	n/a
100.299	4	rest.jpg	100.299	104.03	n/a
104.317	4	Aircraft2_70%_4.jpg	104.317	108.052	1
108.365	4	Aircraft1_70%_43.jpg	108.365	112.094	1
112.405	4	Aircraft1_70%_9.jpg	112.405	116.143	1
116.438	4	Aircraft1_70%_11.jpg	116.438	120.169	1
120.455	4	Aircraft1_70%_50.jpg	120.455	124.19	1
124.461	4	rest.jpg	124.461	128.191	n/a
128.424	4	rest.jpg	128.424	132.154	n/a
132.388	4	rest.jpg	132.388	136.12	n/a
136.556	4	Aircraft1_10%_36.jpg	136.556	140.288	1
140.608	4	Aircraft1_10%_35.jpg	140.608	144.343	1
144.658	4	Aircraft2_10%_3.jpg	144.658	148.39	1
148.714	4	Aircraft1_10%_5.jpg	148.714	152.446	1
152.733	4	Aircraft1_10%_48.jpg	152.733	156.465	1
156.747	4	rest.jpg	156.747	160.477	n/a
160.727	4	rest.jpg	160.727	164.463	n/a
164.697	4	rest.jpg	164.697	168.433	n/a
168.744	4	Aircraft1_90%_3.jpg	168.744	172.474	1
172.793	4	Aircraft2_90%_28.jpg	172.793	176.526	1
176.804	4	Aircraft1_90%_24.jpg	176.804	180.533	1
180.841	4	Aircraft2_90%_39.jpg	180.841	184.579	1
184.856	4	Aircraft2_90%_8.jpg	184.856	188.591	1
188.876	4	rest.jpg	188.876	192.613	n/a
192.859	4	rest.jpg	192.859	196.594	n/a
196.846	4	rest.jpg	196.846	200.581	n/a
200.873	4	Aircraft2_70%_18.jpg	200.873	204.606	1
204.898	4	Aircraft1_70%_29.jpg	204.898	208.628	1
208.948	4	Aircraft2_70%_1.jpg	208.948	212.68	1
213.234	4	Aircraft1_70%_26.jpg	213.234	216.964	1
217.285	4	Aircraft2_70%_34.jpg	217.285	221.021	1
221.289	4	rest.jpg	221.289	225.021	n/a
225.255	4	rest.jpg	225.255	228.991	n/a
229.242	4	rest.jpg	229.242	232.972	n/a
233.282	4	Aircraft2_10%_17.jpg	233.282	237.019	1
237.321	4	Aircraft2_10%_11.jpg	237.321	241.057	1
241.347	4	Aircraft1_10%_20.jpg	241.347	245.079	1
245.411	4	Aircraft2_10%_47.jpg	245.411	249.143	1
249.43	4	Aircraft2_10%_45.jpg	249.43	253.165	1
253.455	4	rest.jpg	253.455	257.187	n/a
257.436	4	rest.jpg	257.436	261.173	n/a
261.422	4	rest.jpg	261.422	265.16	n/a
265.489	4	Aircraft1_90%_25.jpg	265.489	269.225	1
269.545	4	Aircraft2_90%_49.jpg	269.545	273.275	1
273.556	4	Aircraft2_90%_10.jpg	273.556	277.286	1
277.604	4	Aircraft2_90%_12.jpg	277.604	281.336	1
281.659	4	Aircraft2_90%_7.jpg	281.659	285.391	1
285.66	4	rest.jpg	285.66	289.393	n/a
289.626	4	rest.jpg	289.626	293.361	n/a
293.611	4	rest.jpg	293.611	297.341	n/a
297.653	4	Aircraft1_70%_32.jpg	297.653	301.39	1
301.683	4	Aircraft1_70%_49.jpg	301.683	305.418	1
305.731	4	Aircraft2_70%_22.jpg	305.731	309.463	1
309.78	4	Aircraft1_70%_34.jpg	309.78	313.51	1
313.825	4	Aircraft1_70%_14.jpg	313.825	317.555	1
317.827	4	rest.jpg	317.827	321.563	n/a
321.81	4	rest.jpg	321.81	325.546	n/a
325.799	4	rest.jpg	325.799	329.535	n/a
329.824	4	Aircraft1_10%_1.jpg	329.824	333.554	1
333.864	4	Aircraft1_10%_47.jpg	333.864	337.6	1
337.921	4	Aircraft1_10%_40.jpg	337.921	341.654	1
341.95	4	Aircraft1_10%_27.jpg	341.95	345.688	1
346.01	4	Aircraft2_10%_35.jpg	346.01	349.748	1
350.017	4	rest.jpg	350.017	353.751	n/a
353.998	4	rest.jpg	353.998	357.729	n/a
357.975	4	rest.jpg	357.975	361.714	n/a
362.007	4	Aircraft1_90%_32.jpg	362.007	365.741	1
366.06	4	Aircraft1_90%_49.jpg	366.06	369.792	1
370.106	4	Aircraft2_90%_22.jpg	370.106	373.836	1
374.149	4	Aircraft1_90%_34.jpg	374.149	377.879	1
378.198	4	Aircraft1_90%_14.jpg	378.198	381.93	1
382.202	4	rest.jpg	382.202	385.937	n/a
386.19	4	rest.jpg	386.19	389.923	n/a
390.158	4	rest.jpg	390.158	393.888	n/a
394.194	4	Aircraft2_70%_24.jpg	394.194	397.924	1
398.207	4	Aircraft2_70%_2.jpg	398.207	401.937	1
402.231	4	Aircraft2_70%_43.jpg	402.231	405.961	1
406.282	4	Aircraft2_70%_46.jpg	406.282	410.014	1
410.336	4	Aircraft1_70%_42.jpg	410.336	414.068	1
414.351	4	rest.jpg	414.351	418.08	n/a
418.328	4	rest.jpg	418.328	422.058	n/a
422.305	4	rest.jpg	422.305	426.035	n/a
426.319	4	Aircraft2_10%_30.jpg	426.319	430.051	1
430.336	4	Aircraft2_10%_27.jpg	430.336	434.069	1
434.412	4	Aircraft2_10%_50.jpg	434.412	438.142	1
438.429	4	Aircraft2_10%_29.jpg	438.429	442.159	1
442.459	4	Aircraft1_10%_6.jpg	442.459	446.197	1
446.471	4	rest.jpg	446.471	450.201	n/a
450.45	4	rest.jpg	450.45	454.181	n/a
454.414	4	rest.jpg	454.414	458.151	n/a
458.469	4	Aircraft2_90%_18.jpg	458.469	462.199	1
462.481	4	Aircraft1_90%_29.jpg	462.481	466.218	1
466.497	4	Aircraft2_90%_1.jpg	466.497	470.227	1
470.536	4	Aircraft1_90%_26.jpg	470.536	474.268	1
474.537	4	Aircraft2_90%_34.jpg	474.537	478.269	1
478.554	4	rest.jpg	478.554	482.286	n/a
482.52	4	rest.jpg	482.52	486.255	n/a
486.488	4	rest.jpg	486.488	490.22	n/a
490.551	4	Aircraft1_70%_17.jpg	490.551	494.287	1
494.577	4	Aircraft2_70%_42.jpg	494.577	498.307	1
498.62	4	Aircraft2_70%_44.jpg	498.62	502.353	1
502.671	4	Aircraft1_70%_10.jpg	502.671	506.408	1
506.731	4	Aircraft2_70%_25.jpg	506.731	510.467	1
510.757	4	rest.jpg	510.757	514.49	n/a
514.724	4	rest.jpg	514.724	518.456	n/a
518.691	4	rest.jpg	518.691	522.422	n/a
522.955	4	Aircraft1_10%_38.jpg	522.955	526.69	1
526.979	4	Aircraft2_10%_21.jpg	526.979	530.709	1
531.038	4	Aircraft1_10%_16.jpg	531.038	534.768	1
535.095	4	Aircraft1_10%_46.jpg	535.095	538.828	1
539.109	4	Aircraft2_10%_40.jpg	539.109	542.844	1
543.136	4	rest.jpg	543.136	546.866	n/a
547.116	4	rest.jpg	547.116	550.851	n/a
551.102	4	rest.jpg	551.102	554.834	n/a
555.145	4	Aircraft2_90%_4.jpg	555.145	558.881	1
559.185	4	Aircraft1_90%_43.jpg	559.185	562.917	1
563.195	4	Aircraft1_90%_9.jpg	563.195	566.931	1
567.253	4	Aircraft1_90%_11.jpg	567.253	570.986	1
571.268	4	Aircraft1_90%_50.jpg	571.268	575	1
575.289	4	rest.jpg	575.289	579.024	n/a
579.273	4	rest.jpg	579.273	583.01	n/a
583.258	4	rest.jpg	583.258	586.995	n/a
587.29	4	Aircraft1_70%_12.jpg	587.29	591.025	1
591.359	4	Aircraft2_70%_32.jpg	591.359	595.096	1
595.403	4	Aircraft2_70%_48.jpg	595.403	599.133	1
599.437	4	Aircraft1_70%_19.jpg	599.437	603.173	1
603.497	4	Aircraft1_70%_33.jpg	603.497	607.23	1
607.501	4	rest.jpg	607.501	611.233	n/a
611.482	4	rest.jpg	611.482	615.215	n/a
615.449	4	rest.jpg	615.449	619.181	n/a
619.482	4	Aircraft2_10%_23.jpg	619.482	623.213	1
623.511	4	Aircraft1_10%_28.jpg	623.511	627.241	1
627.558	4	Aircraft2_10%_13.jpg	627.558	631.295	1
631.607	4	Aircraft1_10%_45.jpg	631.607	635.337	1
635.636	4	Aircraft1_10%_37.jpg	635.636	639.368	1
639.639	4	rest.jpg	639.639	643.369	n/a
643.618	4	rest.jpg	643.618	647.348	n/a
647.596	4	rest.jpg	647.596	651.326	n/a
651.64	4	Aircraft2_90%_33.jpg	651.64	655.375	1
655.665	4	Aircraft2_90%_38.jpg	655.665	659.4	1
659.715	4	Aircraft1_90%_30.jpg	659.715	663.452	1
663.734	4	Aircraft1_90%_41.jpg	663.734	667.464	1
667.742	4	Aircraft1_90%_18.jpg	667.742	671.474	1
671.763	4	rest.jpg	671.763	675.498	n/a
675.732	4	rest.jpg	675.732	679.467	n/a
679.702	4	rest.jpg	679.702	683.433	n/a
683.748	4	Aircraft2_70%_9.jpg	683.748	687.481	1
687.801	4	Aircraft2_70%_6.jpg	687.801	691.537	1
691.851	4	Aircraft1_70%_23.jpg	691.851	695.589	1
695.875	4	Aircraft1_70%_21.jpg	695.875	699.605	1
699.923	4	Aircraft2_70%_36.jpg	699.923	703.659	1
703.947	4	rest.jpg	703.947	707.68	n/a
707.914	4	rest.jpg	707.914	711.65	n/a
711.902	4	rest.jpg	711.902	715.632	n/a
715.926	4	Aircraft2_10%_41.jpg	715.926	719.66	1
719.944	4	Aircraft1_10%_22.jpg	719.944	723.68	1
724	4	Aircraft1_10%_44.jpg	724	727.732	1
728.025	4	Aircraft1_10%_1.jpg	728.025	731.762	1
732.065	4	Aircraft2_10%_37.jpg	732.065	735.797	1
736.086	4	rest.jpg	736.086	739.817	n/a
740.053	4	rest.jpg	740.053	743.786	n/a
744.034	4	rest.jpg	744.034	747.77	n/a
748.1	4	Aircraft2_90%_31.jpg	748.1	751.83	1
752.11	4	Aircraft1_90%_4.jpg	752.11	755.84	1
756.13	4	Aircraft2_90%_20.jpg	756.13	759.859	1
760.149	4	Aircraft1_90%_7.jpg	760.149	763.88	1
764.18	4	Aircraft1_90%_8.jpg	764.18	767.915	1
768.203	4	rest.jpg	768.203	771.938	n/a
772.173	4	rest.jpg	772.173	775.908	n/a
776.164	4	rest.jpg	776.164	779.894	n/a
780.193	4	Aircraft2_70%_14.jpg	780.193	783.924	1
784.243	4	Aircraft2_70%_5.jpg	784.243	787.973	1
788.297	4	Aircraft2_70%_15.jpg	788.297	792.027	1
792.337	4	Aircraft2_70%_19.jpg	792.337	796.068	1
796.39	4	Aircraft1_70%_31.jpg	796.39	800.12	1
800.389	4	rest.jpg	800.389	804.12	n/a
804.352	4	rest.jpg	804.352	808.084	n/a
808.321	4	rest.jpg	808.321	812.056	n/a
812.347	4	Aircraft2_10%_9.jpg	812.347	816.077	1
816.364	4	Aircraft2_10%_6.jpg	816.364	820.095	1
820.385	4	Aircraft1_10%_23.jpg	820.385	824.117	1
824.439	4	Aircraft1_10%_21.jpg	824.439	828.174	1
828.499	4	Aircraft2_10%_36.jpg	828.499	832.235	1
832.522	4	rest.jpg	832.522	836.252	n/a
836.494	4	rest.jpg	836.494	840.23	n/a
840.465	4	rest.jpg	840.465	844.202	n/a
844.492	4	Aircraft2_90%_24.jpg	844.492	848.224	1
848.508	4	Aircraft2_90%_2.jpg	848.508	852.238	1
852.55	4	Aircraft2_90%_43.jpg	852.55	856.28	1
856.599	4	Aircraft2_90%_46.jpg	856.599	860.332	1
860.616	4	Aircraft1_90%_42.jpg	860.616	864.35	1
864.634	4	rest.jpg	864.634	868.364	n/a
868.617	4	rest.jpg	868.617	872.35	n/a
872.6	4	rest.jpg	872.6	876.336	n/a
876.624	4	Aircraft1_70%_3.jpg	876.624	880.359	1
880.682	4	Aircraft2_70%_28.jpg	880.682	884.417	1
884.712	4	Aircraft1_70%_24.jpg	884.712	888.447	1
888.766	4	Aircraft2_70%_39.jpg	888.766	892.503	1
892.811	4	Aircraft2_70%_8.jpg	892.811	896.54	1
896.809	4	rest.jpg	896.809	900.542	n/a
900.79	4	rest.jpg	900.79	904.52	n/a
904.767	4	rest.jpg	904.767	908.504	n/a
908.828	4	Aircraft1_10%_12.jpg	908.828	912.56	1
912.881	4	Aircraft2_10%_32.jpg	912.881	916.613	1
916.931	4	Aircraft2_10%_48.jpg	916.931	920.667	1
920.954	4	Aircraft1_10%_19.jpg	920.954	924.684	1
924.997	4	Aircraft1_10%_33.jpg	924.997	928.727	1
929.017	4	rest.jpg	929.017	932.746	n/a
932.993	4	rest.jpg	932.993	936.729	n/a
936.976	4	rest.jpg	936.976	940.711	n/a
941.004	4	Aircraft1_90%_17.jpg	941.004	944.74	1
945.058	4	Aircraft2_90%_42.jpg	945.058	948.796	1
949.077	4	Aircraft2_90%_44.jpg	949.077	952.812	1
953.099	4	Aircraft1_90%_10.jpg	953.099	956.829	1
957.144	4	Aircraft2_90%_25.jpg	957.144	960.875	1
961.162	4	rest.jpg	961.162	964.897	n/a
965.145	4	rest.jpg	965.145	968.881	n/a
969.129	4	rest.jpg	969.129	972.859	n/a
