sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
38	1	1	1	39.988	4	Aircraft1_10%_2.jpg	0	0.1	39.988	43.721	41.414	0
38	1	1	2	44.008	4	Aircraft1_10%_39.jpg	0	0.1	44.008	47.742	45.27	0
38	1	1	3	48.007	4	Aircraft2_10%_26.jpg	1	0.1	48.007	51.739	49.119	1
38	1	1	4	52.006	4	Aircraft1_10%_15.jpg	0	0.1	52.006	55.743	53.371	0
38	1	1	5	56.009	4	Aircraft2_10%_16.jpg	1	0.1	56.009	59.742	57.012	1
38	1	1	6	60.028	4	rest.jpg	n/a	n/a	60.028	63.76	64.028	n/a
38	1	1	7	64.011	4	rest.jpg	n/a	n/a	64.011	67.75	68.011	n/a
38	1	1	8	68.001	4	rest.jpg	n/a	n/a	68.001	71.74	72.001	n/a
38	1	2	9	72.023	4	Aircraft2_90%_14.jpg	1	0.9	72.023	75.757	74.076	1
38	1	2	10	76.04	4	Aircraft2_90%_5.jpg	1	0.9	76.04	79.778	78.12	1
38	1	2	11	80.045	4	Aircraft2_90%_15.jpg	1	0.9	80.045	83.779	81.78	1
38	1	2	12	84.05	4	Aircraft2_90%_19.jpg	1	0.9	84.05	87.782	87.426	1
38	1	2	13	88.063	4	Aircraft1_90%_31.jpg	0	0.9	88.063	91.794	91.21	0
38	1	2	14	92.063	4	rest.jpg	n/a	n/a	92.063	95.798	96.063	n/a
38	1	2	15	96.048	4	rest.jpg	n/a	n/a	96.048	99.78	100.048	n/a
38	1	2	16	100.014	4	rest.jpg	n/a	n/a	100.014	103.752	104.014	n/a
38	1	3	17	104.044	4	Aircraft2_70%_4.jpg	1	0.75	104.044	107.781	105.698	1
38	1	3	18	108.071	4	Aircraft1_70%_43.jpg	0	0.75	108.071	111.801	109.725	0
38	1	3	19	112.096	4	Aircraft1_70%_9.jpg	0	0.75	112.096	115.826	114.787	0
38	1	3	20	116.115	4	Aircraft1_70%_11.jpg	0	0.75	116.115	119.847	119.543	0
38	1	3	21	120.123	4	Aircraft1_70%_50.jpg	0	0.75	120.123	123.858	122.845	0
38	1	3	22	124.127	4	rest.jpg	n/a	n/a	124.127	127.864	128.127	n/a
38	1	3	23	128.096	4	rest.jpg	n/a	n/a	128.096	131.826	132.096	n/a
38	1	3	24	132.059	4	rest.jpg	n/a	n/a	132.059	135.789	136.059	n/a
38	1	4	25	136.074	4	Aircraft1_10%_36.jpg	0	0.1	136.074	139.81	137.836	0
38	1	4	26	140.091	4	Aircraft1_10%_35.jpg	0	0.1	140.091	143.822	141.158	0
38	1	4	27	144.089	4	Aircraft2_10%_3.jpg	1	0.1	144.089	147.819	145.284	1
38	1	4	28	148.088	4	Aircraft1_10%_5.jpg	0	0.1	148.088	151.818	149.241	0
38	1	4	29	152.088	4	Aircraft1_10%_48.jpg	0	0.1	152.088	155.821	153.428	0
38	1	4	30	156.1	4	rest.jpg	n/a	n/a	156.1	159.835	160.1	n/a
38	1	4	31	160.067	4	rest.jpg	n/a	n/a	160.067	163.802	164.067	n/a
38	1	4	32	164.032	4	rest.jpg	n/a	n/a	164.032	167.765	168.032	n/a
38	1	5	33	168.045	4	Aircraft1_90%_3.jpg	0	0.9	168.045	171.783	170.736	0
38	1	5	34	172.044	4	Aircraft2_90%_28.jpg	1	0.9	172.044	175.779	176.044	1
38	1	5	35	176.063	4	Aircraft1_90%_24.jpg	0	0.9	176.063	179.793	177.904	0
38	1	5	36	180.075	4	Aircraft2_90%_39.jpg	1	0.9	180.075	183.811	183.006	1
38	1	5	37	184.075	4	Aircraft2_90%_8.jpg	1	0.9	184.075	187.81	186.549	1
38	1	5	38	188.094	4	rest.jpg	n/a	n/a	188.094	191.831	192.094	n/a
38	1	5	39	192.082	4	rest.jpg	n/a	n/a	192.082	195.814	196.082	n/a
38	1	5	40	196.065	4	rest.jpg	n/a	n/a	196.065	199.795	200.065	n/a
38	1	6	41	200.076	4	Aircraft2_70%_18.jpg	1	0.75	200.076	203.808	201.445	1
38	1	6	42	204.076	4	Aircraft1_70%_29.jpg	0	0.75	204.076	207.811	205.537	0
38	1	6	43	208.081	4	Aircraft2_70%_1.jpg	1	0.75	208.081	211.811	210.773	1
38	1	6	44	212.081	4	Aircraft1_70%_26.jpg	0	0.75	212.081	215.816	213.169	0
38	1	6	45	216.085	4	Aircraft2_70%_34.jpg	1	0.75	216.085	219.815	217.754	1
38	1	6	46	220.099	4	rest.jpg	n/a	n/a	220.099	223.834	224.099	n/a
38	1	6	47	224.085	4	rest.jpg	n/a	n/a	224.085	227.814	228.085	n/a
38	1	6	48	228.061	4	rest.jpg	n/a	n/a	228.061	231.792	232.061	n/a
38	1	7	49	232.06	4	Aircraft2_10%_17.jpg	1	0.1	232.06	235.797	233.293	1
38	1	7	50	236.08	4	Aircraft2_10%_11.jpg	1	0.1	236.08	239.81	237.786	1
38	1	7	51	240.077	4	Aircraft1_10%_20.jpg	0	0.1	240.077	243.807	241.377	0
