onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
39.998	4	Aircraft1_10%_2.jpg	0	0.1	39.998	43.736	42.422	0
43.998	4	Aircraft1_10%_39.jpg	0	0.1	43.998	47.736	46.03	0
48.004	4	Aircraft2_10%_26.jpg	1	0.1	48.004	51.739	49.581	1
52.007	4	Aircraft1_10%_15.jpg	0	0.1	52.007	55.746	53.325	0
56.032	4	Aircraft2_10%_16.jpg	1	0.1	56.032	59.771	57.508	1
60.063	4	rest.jpg	NaN	NaN	60.063	63.802	64.063	NaN
64.053	4	rest.jpg	NaN	NaN	64.053	67.786	68.053	NaN
68.019	4	rest.jpg	NaN	NaN	68.019	71.757	72.019	NaN
72.015	4	Aircraft2_90%_14.jpg	1	0.9	72.015	75.754	73.779	1
76.015	4	Aircraft2_90%_5.jpg	1	0.9	76.015	79.75	77.262	1
80.009	4	Aircraft2_90%_15.jpg	1	0.9	80.009	83.744	82.025	1
84.024	4	Aircraft2_90%_19.jpg	1	0.9	84.024	87.758	86.105	1
88.039	4	Aircraft1_90%_31.jpg	0	0.9	88.039	91.771	90.681	0
92.058	4	rest.jpg	NaN	NaN	92.058	95.797	96.058	NaN
96.029	4	rest.jpg	NaN	NaN	96.029	99.768	100.029	NaN
100.017	4	rest.jpg	NaN	NaN	100.017	103.756	104.017	NaN
104.023	4	Aircraft2_70%_4.jpg	1	0.75	104.023	107.761	106.198	1
108.066	4	Aircraft1_70%_43.jpg	0	0.75	108.066	111.805	109.709	0
112.084	4	Aircraft1_70%_9.jpg	0	0.75	112.084	115.821	114.986	0
116.116	4	Aircraft1_70%_11.jpg	0	0.75	116.116	119.852	118.52	0
120.131	4	Aircraft1_70%_50.jpg	0	0.75	120.131	123.87	122.001	0
124.163	4	rest.jpg	NaN	NaN	124.163	127.896	128.163	NaN
128.133	4	rest.jpg	NaN	NaN	128.133	131.867	132.133	NaN
132.105	4	rest.jpg	NaN	NaN	132.105	135.844	136.105	NaN
136.137	4	Aircraft1_10%_36.jpg	0	0.1	136.137	139.877	138.654	0
140.15	4	Aircraft1_10%_35.jpg	0	0.1	140.15	143.89	142.554	0
144.163	4	Aircraft2_10%_3.jpg	1	0.1	144.163	147.896	145.913	1
148.177	4	Aircraft1_10%_5.jpg	0	0.1	148.177	151.913	149.797	0
152.211	4	Aircraft1_10%_48.jpg	0	0.1	152.211	155.945	153.878	0
156.238	4	rest.jpg	NaN	NaN	156.238	159.969	160.238	NaN
160.225	4	rest.jpg	NaN	NaN	160.225	163.956	164.225	NaN
164.195	4	rest.jpg	NaN	NaN	164.195	167.928	168.195	NaN
168.217	4	Aircraft1_90%_3.jpg	0	0.9	168.217	171.951	170.42	0
172.221	4	Aircraft2_90%_28.jpg	1	0.9	172.221	175.953	174.528	1
176.225	4	Aircraft1_90%_24.jpg	0	0.9	176.225	179.963	178.372	0
180.259	4	Aircraft2_90%_39.jpg	1	0.9	180.259	183.998	182.53	1
184.271	4	Aircraft2_90%_8.jpg	1	0.9	184.271	188.002	186.845	1
188.288	4	rest.jpg	NaN	NaN	188.288	192.028	192.288	NaN
192.261	4	rest.jpg	NaN	NaN	192.261	195.993	196.261	NaN
196.248	4	rest.jpg	NaN	NaN	196.248	199.982	200.248	NaN
200.252	4	Aircraft2_70%_18.jpg	1	0.75	200.252	203.988	201.39	1
204.258	4	Aircraft1_70%_29.jpg	0	0.75	204.258	207.989	206.216	0
208.262	4	Aircraft2_70%_1.jpg	1	0.75	208.262	211.995	210.436	1
212.266	4	Aircraft1_70%_26.jpg	0	0.75	212.266	215.997	214.694	0
216.289	4	Aircraft2_70%_34.jpg	1	0.75	216.289	220.02	218.593	1
220.304	4	rest.jpg	NaN	NaN	220.304	224.039	224.304	NaN
224.271	4	rest.jpg	NaN	NaN	224.271	228.004	228.271	NaN
228.256	4	rest.jpg	NaN	NaN	228.256	231.99	232.256	NaN
232.279	4	Aircraft2_10%_17.jpg	1	0.1	232.279	236.015	234.026	1
236.287	4	Aircraft2_10%_11.jpg	1	0.1	236.287	240.024	237.708	1
240.293	4	Aircraft1_10%_20.jpg	0	0.1	240.293	244.025	241.728	0
244.309	4	Aircraft2_10%_47.jpg	1	0.1	244.309	248.045	245.328	1
248.308	4	Aircraft2_10%_45.jpg	1	0.1	248.308	252.038	249.746	1
252.303	4	rest.jpg	NaN	NaN	252.303	256.039	256.303	NaN
256.284	4	rest.jpg	NaN	NaN	256.284	260.019	260.284	NaN
260.27	4	rest.jpg	NaN	NaN	260.27	264	264.27	NaN
264.288	4	Aircraft1_90%_25.jpg	0	0.9	264.288	268.019	265.708	0
268.3	4	Aircraft2_90%_49.jpg	1	0.9	268.3	272.037	270.622	1
272.318	4	Aircraft2_90%_10.jpg	1	0.9	272.318	276.047	274.388	1
276.323	4	Aircraft2_90%_12.jpg	1	0.9	276.323	280.053	278.668	1
280.334	4	Aircraft2_90%_7.jpg	1	0.9	280.334	284.07	282.459	1
284.353	4	rest.jpg	NaN	NaN	284.353	288.086	288.353	NaN
288.336	4	rest.jpg	NaN	NaN	288.336	292.066	292.336	NaN
292.312	4	rest.jpg	NaN	NaN	292.312	296.048	296.312	NaN
296.333	4	Aircraft1_70%_32.jpg	0	0.75	296.333	300.07	298.056	0
300.339	4	Aircraft1_70%_49.jpg	0	0.75	300.339	304.076	301.815	0
304.357	4	Aircraft2_70%_22.jpg	1	0.75	304.357	308.086	307.086	1
308.351	4	Aircraft1_70%_34.jpg	0	0.75	308.351	312.086	310.374	0
312.373	4	Aircraft1_70%_14.jpg	0	0.75	312.373	316.103	314.533	0
316.38	4	rest.jpg	NaN	NaN	316.38	320.116	320.38	NaN
320.363	4	rest.jpg	NaN	NaN	320.363	324.093	324.363	NaN
324.342	4	rest.jpg	NaN	NaN	324.342	328.079	328.342	NaN
328.347	4	Aircraft1_10%_1.jpg	0	0.1	328.347	332.08	329.587	0
332.364	4	Aircraft1_10%_47.jpg	0	0.1	332.364	336.097	333.743	0
336.392	4	Aircraft1_10%_40.jpg	0	0.1	336.392	340.123	337.72	0
340.398	4	Aircraft1_10%_27.jpg	0	0.1	340.398	344.13	341.781	0
344.399	4	Aircraft2_10%_35.jpg	1	0.1	344.399	348.136	345.284	1
348.419	4	rest.jpg	NaN	NaN	348.419	352.149	352.419	NaN
352.383	4	rest.jpg	NaN	NaN	352.383	356.115	356.383	NaN
356.349	4	rest.jpg	NaN	NaN	356.349	360.079	360.349	NaN
360.362	4	Aircraft1_90%_32.jpg	0	0.9	360.362	364.098	362.141	0
364.372	4	Aircraft1_90%_49.jpg	0	0.9	364.372	368.107	366.176	0
368.369	4	Aircraft2_90%_22.jpg	1	0.9	368.369	372.099	370.276	1
372.378	4	Aircraft1_90%_34.jpg	0	0.9	372.378	376.107	374.322	0
376.368	4	Aircraft1_90%_14.jpg	0	0.9	376.368	380.098	377.881	0
380.363	4	rest.jpg	NaN	NaN	380.363	384.093	384.363	NaN
384.342	4	rest.jpg	NaN	NaN	384.342	388.072	388.342	NaN
388.303	4	rest.jpg	NaN	NaN	388.303	392.033	392.303	NaN
392.316	4	Aircraft2_70%_24.jpg	1	0.75	392.316	396.048	393.819	1
396.311	4	Aircraft2_70%_2.jpg	1	0.75	396.311	400.041	398.374	1
