sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
50	2	1	1	40.009	4	Aircraft1_10%_17.jpg	0	0.1	40.009	43.743	41.277	0
50	2	1	2	44.039	4	Aircraft2_10%_42.jpg	1	0.1	44.039	47.775	44.6	1
50	2	1	3	48.084	4	Aircraft2_10%_44.jpg	1	0.1	48.084	51.816	48.599	1
50	2	1	4	52.097	4	Aircraft1_10%_10.jpg	0	0.1	52.097	55.834	52.649	0
50	2	1	5	56.137	4	Aircraft2_10%_25.jpg	1	0.1	56.137	59.866	56.921	1
50	2	1	6	60.138	4	rest.jpg	n/a	n/a	60.138	63.867	64.138	n/a
50	2	1	7	64.103	4	rest.jpg	n/a	n/a	64.103	67.832	68.103	n/a
50	2	1	8	68.085	4	rest.jpg	n/a	n/a	68.085	71.82	72.085	n/a
50	2	2	9	72.107	4	Aircraft1_90%_12.jpg	0	0.9	72.107	75.841	73.743	0
50	2	2	10	76.153	4	Aircraft2_90%_32.jpg	1	0.9	76.153	79.888	78.398	1
50	2	2	11	80.172	4	Aircraft2_90%_48.jpg	1	0.9	80.172	83.902	81.707	1
50	2	2	12	84.206	4	Aircraft1_90%_19.jpg	0	0.9	84.206	87.937	85.537	0
50	2	2	13	88.258	4	Aircraft1_90%_33.jpg	0	0.9	88.258	91.989	90.263	0
50	2	2	14	92.261	4	rest.jpg	n/a	n/a	92.261	95.996	96.261	n/a
50	2	2	15	96.231	4	rest.jpg	n/a	n/a	96.231	99.965	100.231	n/a
50	2	2	16	100.218	4	rest.jpg	n/a	n/a	100.218	103.949	104.218	n/a
50	2	3	17	104.227	4	Aircraft2_70%_33.jpg	1	0.75	104.227	107.961	106.606	1
50	2	3	18	108.28	4	Aircraft2_70%_38.jpg	1	0.75	108.28	112.01	109.807	1
50	2	3	19	112.322	4	Aircraft1_70%_30.jpg	0	0.75	112.322	116.058	113.655	0
50	2	3	20	116.374	4	Aircraft1_70%_41.jpg	0	0.75	116.374	120.107	117.304	0
50	2	3	21	120.373	4	Aircraft1_70%_18.jpg	0	0.75	120.373	124.104	122.043	0
50	2	3	22	124.368	4	rest.jpg	n/a	n/a	124.368	128.097	128.368	n/a
50	2	3	23	128.327	4	rest.jpg	n/a	n/a	128.327	132.061	132.327	n/a
