onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix	stim_started_1	stim_stopped_1	key_time_1	key_fix_1
40	4	Aircraft1_10%_17.jpg	0	0.1	40	43.73	41.03	0	40	43.73	41.03	0
44.005	4	Aircraft2_10%_42.jpg	1	0.1	44.005	47.737	44.671	1	44.005	47.737	44.671	1
48.021	4	Aircraft2_10%_44.jpg	1	0.1	48.021	51.756	48.632	1	48.021	51.756	48.632	1
52.048	4	Aircraft1_10%_10.jpg	0	0.1	52.048	55.781	52.744	0	52.048	55.781	52.744	0
56.055	4	Aircraft2_10%_25.jpg	1	0.1	56.055	59.784	56.763	1	56.055	59.784	56.763	1
60.068	4	rest.jpg	NaN	NaN	60.068	63.804	64.068	NaN	60.068	63.804	64.068	NaN
64.038	4	rest.jpg	NaN	NaN	64.038	67.77	68.038	NaN	64.038	67.77	68.038	NaN
68.021	4	rest.jpg	NaN	NaN	68.021	71.757	72.021	NaN	68.021	71.757	72.021	NaN
72.04	4	Aircraft1_90%_12.jpg	0	0.9	72.04	75.776	74.403	0	72.04	75.776	74.403	0
76.058	4	Aircraft2_90%_32.jpg	1	0.9	76.058	79.787	77.92	1	76.058	79.787	77.92	1
80.058	4	Aircraft2_90%_48.jpg	1	0.9	80.058	83.786	80.721	1	80.058	83.786	80.721	1
84.054	4	Aircraft1_90%_19.jpg	0	0.9	84.054	87.785	85.756	0	84.054	87.785	85.756	0
88.072	4	Aircraft1_90%_33.jpg	0	0.9	88.072	91.807	89.764	0	88.072	91.807	89.764	0
92.097	4	rest.jpg	NaN	NaN	92.097	95.831	96.097	NaN	92.097	95.831	96.097	NaN
96.067	4	rest.jpg	NaN	NaN	96.067	99.803	100.067	NaN	96.067	99.803	100.067	NaN
100.04	4	rest.jpg	NaN	NaN	100.04	103.776	104.04	NaN	100.04	103.776	104.04	NaN
104.046	4	Aircraft2_70%_33.jpg	1	0.75	104.046	107.781	105.015	1	104.046	107.781	105.015	1
108.054	4	Aircraft2_70%_38.jpg	1	0.75	108.054	111.783	108.831	1	108.054	111.783	108.831	1
112.081	4	Aircraft1_70%_30.jpg	0	0.75	112.081	115.817	113.385	0	112.081	115.817	113.385	0
116.1	4	Aircraft1_70%_41.jpg	0	0.75	116.1	119.833	118.286	0	116.1	119.833	118.286	0
120.126	4	Aircraft1_70%_18.jpg	0	0.75	120.126	123.858	121	0	120.126	123.858	121	0
124.135	4	rest.jpg	NaN	NaN	124.135	127.869	128.135	NaN	124.135	127.869	128.135	NaN
128.105	4	rest.jpg	NaN	NaN	128.105	131.834	132.105	NaN	128.105	131.834	132.105	NaN
132.088	4	rest.jpg	NaN	NaN	132.088	135.82	136.088	NaN	132.088	135.82	136.088	NaN
136.116	4	Aircraft2_10%_24.jpg	1	0.1	136.116	139.851	136.74	1	136.116	139.851	136.74	1
140.145	4	Aircraft2_10%_2.jpg	1	0.1	140.145	143.88	140.899	1	140.145	143.88	140.899	1
144.176	4	Aircraft2_10%_43.jpg	1	0.1	144.176	147.911	144.843	1	144.176	147.911	144.843	1
148.187	4	Aircraft2_10%_46.jpg	1	0.1	148.187	151.916	149.363	1	148.187	151.916	149.363	1
152.203	4	Aircraft1_10%_42.jpg	0	0.1	152.203	155.933	153.509	0	152.203	155.933	153.509	0
156.202	4	rest.jpg	NaN	NaN	156.202	159.931	160.202	NaN	156.202	159.931	160.202	NaN
160.166	4	rest.jpg	NaN	NaN	160.166	163.898	164.166	NaN	160.166	163.898	164.166	NaN
164.15	4	rest.jpg	NaN	NaN	164.15	167.879	168.15	NaN	164.15	167.879	168.15	NaN
168.166	4	Aircraft2_90%_9.jpg	1	0.9	168.166	171.897	169.756	1	168.166	171.897	169.756	1
172.166	4	Aircraft2_90%_6.jpg	1	0.9	172.166	175.901	174.457	1	172.166	175.901	174.457	1
176.176	4	Aircraft1_90%_23.jpg	0	0.9	176.176	179.91	178.991	0	176.176	179.91	178.991	0
180.193	4	Aircraft1_90%_21.jpg	0	0.9	180.193	183.922	183.533	0	180.193	183.922	183.533	0
184.191	4	Aircraft2_90%_36.jpg	1	0.9	184.191	187.925	186.37	1	184.191	187.925	186.37	1
188.219	4	rest.jpg	NaN	NaN	188.219	191.95	192.219	NaN	188.219	191.95	192.219	NaN
192.199	4	rest.jpg	NaN	NaN	192.199	195.934	196.199	NaN	192.199	195.934	196.199	NaN
196.185	4	rest.jpg	NaN	NaN	196.185	199.915	200.185	NaN	196.185	199.915	200.185	NaN
200.191	4	Aircraft2_70%_31.jpg	1	0.75	200.191	203.925	201.626	1	200.191	203.925	201.626	1
204.202	4	Aircraft1_70%_4.jpg	0	0.75	204.202	207.934	206.393	0	204.202	207.934	206.393	0
208.209	4	Aircraft2_70%_20.jpg	1	0.75	208.209	211.939	210.4	1	208.209	211.939	210.4	1
212.227	4	Aircraft1_70%_7.jpg	0	0.75	212.227	215.958	214.724	0	212.227	215.958	214.724	0
216.236	4	Aircraft1_70%_8.jpg	0	0.75	216.236	219.965	217.339	0	216.236	219.965	217.339	0
220.247	4	rest.jpg	NaN	NaN	220.247	223.978	224.247	NaN	220.247	223.978	224.247	NaN
224.213	4	rest.jpg	NaN	NaN	224.213	227.942	228.213	NaN	224.213	227.942	228.213	NaN
228.193	4	rest.jpg	NaN	NaN	228.193	231.922	232.193	NaN	228.193	231.922	232.193	NaN
232.198	4	Aircraft2_10%_31.jpg	1	0.1	232.198	235.929	232.95	1	232.198	235.929	232.95	1
236.226	4	Aircraft1_10%_4.jpg	0	0.1	236.226	239.955	236.963	0	236.226	239.955	236.963	0
240.24	4	Aircraft2_10%_20.jpg	1	0.1	240.24	243.969	240.867	1	240.24	243.969	240.867	1
244.262	4	Aircraft1_10%_7.jpg	0	0.1	244.262	247.996	245.171	0	244.262	247.996	245.171	0
248.284	4	Aircraft1_10%_8.jpg	0	0.1	248.284	252.019	249.399	0	248.284	252.019	249.399	0
252.302	4	rest.jpg	NaN	NaN	252.302	256.035	256.302	NaN	252.302	256.035	256.302	NaN
256.269	4	rest.jpg	NaN	NaN	256.269	259.997	260.269	NaN	256.269	259.997	260.269	NaN
260.231	4	rest.jpg	NaN	NaN	260.231	263.963	264.231	NaN	260.231	263.963	264.231	NaN
264.25	4	Aircraft2_90%_41.jpg	1	0.9	264.25	267.984	266.08	1	264.25	267.984	266.08	1
268.252	4	Aircraft1_90%_22.jpg	0	0.9	268.252	271.981	271.295	0	268.252	271.981	271.295	0
272.266	4	Aircraft1_90%_44.jpg	0	0.9	272.266	275.998	275.125	0	272.266	275.998	275.125	0
276.27	4	Aircraft1_90%_1.jpg	0	0.9	276.27	279.999	278.61	0	276.27	279.999	278.61	0
280.269	4	Aircraft2_90%_37.jpg	1	0.9	280.269	284	281.023	1	280.269	284	281.023	1
284.272	4	rest.jpg	NaN	NaN	284.272	288.004	288.272	NaN	284.272	288.004	288.272	NaN
288.241	4	rest.jpg	NaN	NaN	288.241	291.972	292.241	NaN	288.241	291.972	292.241	NaN
